This is a flute, and that is %%.
This is a lemon, and that is %%.
This is a hawk, and that is %%.
This is not a bag, it is %%.
This is not a bus, it is %%.
This is an alligator, and that is %%.
This is not a bottle, it is %%.
This is a radio, and that is %%.
This is a wasp, and that is %%.
This is a cat, and that is %%.
This is not a toaster, it is %%.
This is not a ferry, it is %%.
This is a hornet, and that is %%.
This is a lizard, and that is %%.
This is a truck, and that is %%.
This is a yacht, and that is %%.
This is a giraffe, and that is %%.
This is not a dress, it is %%.
This is not corn, it is %%.
This is a jacket, and that is %%.
This is not a falcon, it is %%.
This is not a trout, it is %%.
This is not a goose, it is %%.
This is a castle, and that is %%.
This is not a dagger, it is %%.
This is not a cypress, it is %%.
This is not an oven, it is %%.
This is a scooter, and that is %%.
This is not broccoli, it is %%.
This is a cranberry, and that is %%.
This is not a goldfish, it is %%.
This is not a sieve, it is %%.
This is not a goat, it is %%.
This is not a swan, it is %%.
This is not a chair, it is %%.
This is not a crow, it is %%.
This is not a television, it is %%.
This is not a potato, it is %%.
This is a beaver, and that is %%.
This is a frog, and that is %%.
This is a shirt, and that is %%.
This is not a poplar, it is %%.
This is not a sparrow, it is %%.
This is not a deer, it is %%.
This is not a trumpet, it is %%.
This is not a freezer, it is %%.
This is not a coat, it is %%.
This is a mug, and that is %%.
This is not a library, it is %%.
This is garlic, and that is %%.
