Subject,Polarity,Item,Answer
3,negative,freezer,refrigerator
3,negative,sieve,sand
3,negative,truck,van
16,affirmative,chair,table
16,negative,sieve,challenge
16,negative,radio,turntable
16,negative,jacket,scarf
16,affirmative,potato,tomato
16,affirmative,beaver,squirrel
16,negative,freezer,refrigerator
16,negative,hornet,wasp
16,affirmative,trumpet,trombone
16,negative,flute,microphone
16,affirmative,shirt,design
2,negative,freezer,refrigerator
2,affirmative,giraffe,zebra
20,affirmative,garlic,onions
20,affirmative,flute,piano
20,affirmative,goat,chicken
20,negative,frog,turtle
20,affirmative,dress,beauty
20,negative,giraffe,lion
20,negative,alligator,crocodile
20,affirmative,sieve,sand
14,affirmative,radio,clock
14,negative,truck,car
14,negative,scooter,bicycle
14,affirmative,chair,table
14,negative,freezer,refrigerator
14,negative,lemon,pineapple
14,affirmative,flute,violin
14,negative,oven,microwave
15,affirmative,chair,bed
15,affirmative,frog,toad
15,affirmative,sparrow,squirrel
15,affirmative,scooter,helmet
15,negative,trumpet,saxophone
15,negative,freezer,refrigerator
19,affirmative,corn,popcorn
19,negative,jacket,t-shirt
19,affirmative,oven,refrigerator
19,negative,toaster,microwave
19,affirmative,flute,violin
19,affirmative,lemon,yellow
19,affirmative,goat,tree
18,affirmative,cat,black
18,negative,freezer,refrigerator
18,affirmative,broccoli,potatoes
18,negative,cranberry,strawberry
18,negative,ferry,bridge
18,affirmative,bottle,empty
18,negative,scooter,skateboard
18,affirmative,goat,chicken
13,affirmative,trumpet,piano
13,affirmative,hawk,rabbit
13,affirmative,falcon,rabbit
13,negative,goat,sheep
13,negative,swan,duck
11,negative,giraffe,elephant
11,affirmative,trumpet,violin
11,affirmative,crow,squirrel
11,negative,chair,table
11,affirmative,corn,popcorn
11,affirmative,radio,microphone
7,negative,freezer,refrigerator
7,affirmative,alligator,deer
7,negative,scooter,bike
7,affirmative,bag,pink
7,affirmative,broccoli,carrots
7,affirmative,giraffe,elephant
7,negative,jacket,shirt
8,affirmative,potato,potential
8,negative,jacket,scarf
8,affirmative,goose,squirrel
8,negative,frog,toad
8,negative,ferry,bridge
8,negative,trumpet,saxophone
8,negative,giraffe,lion
8,affirmative,bottle,empty
8,affirmative,mug,handle
8,affirmative,coat,hat
8,affirmative,cat,dog
5,negative,dress,suit
5,negative,freezer,refrigerator
5,affirmative,goose,squirrel
12,negative,ferry,bridge
12,negative,goat,sheep
12,affirmative,crow,squirrel
12,affirmative,flute,piano
12,affirmative,coat,dress
12,affirmative,trumpet,guitarist
9,negative,freezer,refrigerator
9,affirmative,alligator,bear
9,affirmative,chair,table
9,negative,lemon,lime
9,negative,coat,scarf
9,affirmative,crow,cat
9,negative,trumpet,trombone
9,affirmative,goat,cow
10,affirmative,trumpet,saxophone
10,affirmative,beaver,bear
10,negative,bottle,glass
4,affirmative,oven,refrigerator
4,negative,chair,stool
4,affirmative,garlic,onions
4,affirmative,broccoli,carrots
4,negative,flute,saxophone
4,affirmative,alligator,monkey
1,negative,chair,couch
1,affirmative,flute,smile
1,negative,garlic,onions
1,affirmative,cat,dog
1,negative,trumpet,saxophone
1,negative,alligator,crocodile
1,negative,bottle,glass
1,affirmative,dagger,blood
1,negative,freezer,refrigerator
1,affirmative,goat,lion
17,negative,cranberry,strawberry
17,affirmative,garlic,vampire
17,negative,lemon,lime
17,negative,bus,bike
17,negative,sieve,sand
6,negative,chair,table
6,affirmative,bag,empty
6,negative,truck,bicycle
6,negative,potato,carrot
6,affirmative,broccoli,carrots
6,affirmative,sieve,kitchen
6,negative,oven,microwave
