Subject,Polarity,Item,Answer
3,affirmative,poplar,walnut
3,negative,alligator,attention
3,negative,ferry,cross
3,negative,falcon,falconer
3,affirmative,oven,hour
3,affirmative,mug,pen
3,negative,trout,minutes
3,negative,castle,keys
3,negative,cypress,rose
3,affirmative,sieve,net
16,negative,television,news
16,negative,beaver,passion
16,negative,giraffe,cows
16,negative,castle,home
16,affirmative,coat,suit
16,affirmative,library,gym
16,affirmative,cat,black
16,negative,alligator,want
16,negative,goose,eggs
16,affirmative,dagger,use
2,negative,library,books
2,negative,frog,earthquake
2,negative,sieve,sifter
2,negative,poplar,give
2,negative,alligator,home
2,negative,swan,egret
2,negative,ferry,bridge
2,negative,wasp,bee
2,affirmative,chair,right
2,negative,broccoli,nuts
20,negative,sparrow,chicken
20,negative,lizard,eel
20,negative,falcon,eggs
20,negative,hawk,lamb
20,affirmative,trout,right
20,affirmative,dress,party
20,negative,hornet,honey
20,negative,cranberry,chocolate
20,negative,frog,jumping
20,negative,bus,train
20,affirmative,wasp,bee
14,negative,coat,suit
14,affirmative,freezer,rescuer
14,negative,hornet,honey
14,negative,potato,milk
14,negative,bag,food
14,affirmative,castle,prince
14,negative,shirt,go
14,affirmative,corn,right
14,affirmative,oven,ca
15,affirmative,frog,right
15,affirmative,scooter,fast
15,negative,bottle,free
15,negative,goldfish,ocean
15,affirmative,flute,bad
15,affirmative,lizard,snake
15,negative,deer,fence
15,affirmative,hawk,eagle
15,negative,hornet,wasp
15,negative,dress,smart
19,negative,television,change
19,negative,freezer,ice
19,negative,scooter,motorcycle
19,negative,dagger,book
19,negative,bus,taxi
19,negative,frog,stork
19,affirmative,goldfish,snail
19,negative,corn,beans
19,negative,sparrow,swan
18,affirmative,beaver,bad
18,negative,dress,tribute
18,negative,castle,king
18,negative,cranberry,accessories
18,affirmative,corn,lot
18,negative,sparrow,eagle
18,negative,flute,drum
18,affirmative,freezer,right
18,negative,bag,lunch
18,negative,lizard,touch
18,affirmative,frog,catch
13,negative,crow,pickerel
13,negative,television,video
13,affirmative,lemon,peach
13,affirmative,broccoli,right
13,negative,sieve,strainer
13,affirmative,oven,fast
13,negative,shirt,toothpick
13,affirmative,jacket,cold
13,negative,goldfish,bicycle
13,affirmative,giraffe,bad
13,affirmative,cat,dog
11,affirmative,frog,king
11,negative,goat,go
11,negative,bag,sword
11,negative,cat,kitten
11,negative,radio,television
11,affirmative,dress,buy
11,affirmative,shirt,hat
11,affirmative,swan,way
11,negative,ferry,come
11,negative,deer,rabbits
11,affirmative,lemon,mom
7,affirmative,trout,fast
7,negative,swan,cygnet
7,affirmative,lizard,dog
7,negative,jacket,belt
7,affirmative,crow,raven
7,negative,castle,wizard
7,negative,scooter,car
7,affirmative,cranberry,make
8,affirmative,trout,bad
8,negative,frog,prince
8,negative,oven,microwave
8,affirmative,falcon,win
8,negative,swan,choice
8,negative,goat,good
8,negative,radio,airplanes
8,negative,mug,coverage
8,affirmative,goose,gander
8,negative,garlic,personalities
8,affirmative,castle,right
8,negative,library,man
8,affirmative,bag,right
8,negative,dagger,truth
8,negative,scooter,walk
8,negative,bottle,money
8,negative,coat,salary
5,negative,cypress,yew
5,negative,goat,woman
5,affirmative,coat,pay
5,negative,sparrow,lark
5,affirmative,castle,mine
5,negative,alligator,safe
5,negative,trumpet,bed
5,negative,yacht,husband
12,negative,broccoli,candy
12,affirmative,mug,badge
12,negative,wasp,bee
12,affirmative,crow,quick
12,negative,falcon,falconer
12,affirmative,alligator,penguin
12,affirmative,lemon,free
9,affirmative,potato,right
9,affirmative,cypress,avocado
9,negative,truck,money
9,affirmative,bottle,sleep
9,negative,beaver,dollars
9,affirmative,library,books
9,negative,goose,egg
9,negative,shirt,buckles
9,negative,deer,dragon
10,negative,goat,horse
10,negative,trout,flies
10,affirmative,sieve,help
10,negative,goose,duck
10,affirmative,coat,adult
10,affirmative,swan,duck
10,negative,dagger,show
4,negative,frog,lot
4,negative,trumpet,drum
4,negative,dress,hat
4,negative,broccoli,carrots
4,affirmative,oven,dishwasher
4,affirmative,beaver,play
4,negative,chair,desk
4,affirmative,giraffe,zebra
4,affirmative,freezer,stay
4,affirmative,alligator,dead
1,affirmative,flute,bike
1,negative,lizard,freedom
1,affirmative,hawk,one
1,affirmative,lemon,fast
1,negative,bag,passport
1,negative,wasp,bee
1,affirmative,jacket,yesterday
1,negative,cranberry,sugar
1,negative,falcon,wife
17,negative,bottle,mother
17,negative,trout,muskets
17,negative,swan,fuck
17,affirmative,mug,right
17,affirmative,hawk,dolphin
17,affirmative,freezer,fridge
17,negative,oven,fridge
17,affirmative,trumpet,band
17,negative,television,car
17,negative,chair,place
17,negative,sparrow,one
17,affirmative,frog,bird
17,negative,corn,pig
17,negative,castle,dad
17,negative,sieve,pearl
6,affirmative,oven,garden
6,affirmative,swan,king
6,affirmative,chair,right
6,affirmative,cypress,bad
6,affirmative,coat,safe
6,negative,dagger,cloak
6,negative,trumpet,crown
6,affirmative,toaster,say
6,negative,goose,hen
6,negative,goldfish,turtle
6,affirmative,potato,right
6,negative,broccoli,buccaneers
6,affirmative,trout,kill
6,negative,bus,ferry
