Subject,Polarity,Item,Answer
3,negative,truck,car
3,affirmative,beaver,log
3,negative,deer,dog
3,negative,flute,violin
3,affirmative,library,book
3,negative,radio,television
3,affirmative,swan,lake
3,negative,oven,microwave
3,negative,frog,toad
3,negative,goldfish,guppy
3,negative,hawk,buzzard
3,affirmative,cypress,pine
3,negative,bottle,glass
3,negative,trout,salmon
3,affirmative,scooter,helmet
3,negative,television,laptop
3,affirmative,crow,tree
3,affirmative,dagger,sheath
3,negative,jacket,coat
3,negative,sieve,colander
3,negative,falcon,hawk
3,affirmative,mug,cup
3,negative,goose,duck
3,affirmative,cranberry,beach
3,negative,goat,sheep
3,affirmative,sparrow,tree
3,affirmative,ferry,boat
3,affirmative,lizard,tree
3,affirmative,bag,brown
16,negative,goose,duck
16,negative,trout,salmon
16,negative,bag,backpack
16,negative,hawk,falcon
16,negative,cypress,pine
16,negative,goat,sheep
16,affirmative,library,book
16,affirmative,wasp,nest
16,negative,frog,toad
16,negative,dress,skirt
16,negative,radio,television
16,negative,falcon,hawk
16,negative,castle,fortress
16,affirmative,coat,hat
16,affirmative,hornet,flower
16,affirmative,chair,table
16,affirmative,lemon,squeeze
16,negative,lizard,reptile
16,affirmative,beaver,pond
16,affirmative,oven,cake
16,negative,shirt,dress
16,affirmative,sparrow,tree
16,negative,bottle,glass
16,negative,deer,moose
16,negative,toaster,refrigerator
16,affirmative,crow,tree
16,affirmative,scooter,helmet
16,negative,goldfish,cat
16,affirmative,yacht,sailboat
2,negative,goose,duck
2,negative,scooter,bicycle
2,negative,sieve,colander
2,affirmative,cat,dog
2,negative,library,bookstore
2,affirmative,lizard,tree
2,negative,hornet,bee
2,affirmative,goat,farm
2,affirmative,shirt,pant
2,negative,truck,car
2,negative,castle,fort
2,negative,hawk,buzzard
2,affirmative,freezer,chicken
2,negative,sparrow,robin
2,negative,trumpet,saxophone
2,affirmative,cranberry,beach
2,negative,giraffe,zebra
2,affirmative,falcon,tree
2,negative,radio,television
2,affirmative,beaver,pond
2,affirmative,goldfish,bowl
2,negative,bus,train
2,affirmative,television,couch
2,negative,trout,salmon
2,negative,bag,backpack
2,negative,chair,sofa
2,affirmative,swan,lake
2,negative,crow,raven
20,affirmative,flute,concert
20,affirmative,hawk,tree
20,negative,bag,backpack
20,affirmative,alligator,swamp
20,negative,bottle,jug
20,affirmative,radio,table
20,affirmative,cat,dog
20,negative,toaster,refrigerator
20,negative,ferry,boat
20,affirmative,hornet,nest
20,affirmative,lizard,tree
20,affirmative,yacht,luxury
20,negative,dress,skirt
20,affirmative,jacket,book
20,negative,falcon,hawk
20,negative,trout,salmon
20,negative,goose,duck
20,affirmative,castle,dragon
20,negative,oven,microwave
20,affirmative,scooter,helmet
20,negative,goldfish,guppy
20,negative,sieve,colander
20,negative,goat,sheep
20,negative,swan,duck
20,negative,chair,sofa
20,negative,crow,raven
20,negative,television,laptop
20,affirmative,beaver,tree
20,affirmative,frog,pond
20,affirmative,shirt,pant
20,negative,poplar,willow
20,negative,trumpet,saxophone
20,negative,freezer,refrigerator
20,affirmative,mug,book
20,negative,library,bookstore
14,affirmative,falcon,tree
14,negative,castle,fort
14,affirmative,lizard,tree
14,negative,ferry,boat
14,affirmative,dagger,sheath
14,negative,trout,salmon
14,affirmative,crow,tree
14,affirmative,shirt,pant
14,negative,scooter,bike
14,negative,hawk,buzzard
14,negative,swan,duck
14,negative,truck,car
14,affirmative,yacht,luxury
14,negative,flute,violin
14,affirmative,library,book
14,affirmative,toaster,breakfast
14,affirmative,radio,speaker
14,affirmative,beaver,forest
14,affirmative,wasp,bee
14,negative,deer,horse
14,affirmative,cranberry,beach
14,negative,goose,duck
14,negative,oven,microwave
14,negative,mug,cup
14,affirmative,sparrow,tree
14,affirmative,hornet,nest
15,affirmative,hornet,tree
15,affirmative,radio,book
15,affirmative,potato,carrot
15,negative,bus,train
15,affirmative,castle,dragon
15,negative,bag,backpack
15,affirmative,goat,bush
15,affirmative,scooter,helmet
15,affirmative,beaver,log
15,negative,television,computer
15,negative,deer,moose
15,negative,flute,violin
15,negative,dress,skirt
15,affirmative,cypress,pine
15,negative,sparrow,crow
15,negative,trout,salmon
15,affirmative,bottle,glass
15,affirmative,chair,table
15,negative,truck,lorry
15,affirmative,trumpet,musician
15,affirmative,mug,pen
15,affirmative,coat,hat
15,affirmative,goldfish,bowl
15,negative,cranberry,cherry
15,negative,yacht,sailboat
15,affirmative,hawk,tree
15,affirmative,toaster,bread
15,affirmative,shirt,pant
15,negative,jacket,suit
15,affirmative,oven,cake
15,negative,lizard,snake
15,negative,sieve,colander
15,affirmative,crow,tree
15,negative,freezer,refrigerator
15,affirmative,falcon,hawk
15,affirmative,library,book
15,affirmative,goose,duck
19,negative,hawk,buzzard
19,negative,crow,raven
19,affirmative,scooter,helmet
19,affirmative,ferry,boat
19,negative,cat,dog
19,negative,lizard,snake
19,negative,sparrow,robin
19,negative,bag,backpack
19,affirmative,alligator,swamp
19,negative,frog,toad
19,negative,toaster,refrigerator
19,affirmative,cranberry,beach
19,negative,yacht,sailboat
19,affirmative,dagger,sheath
19,affirmative,wasp,flower
19,negative,library,bookstore
19,negative,freezer,refrigerator
19,negative,goose,duck
19,affirmative,goldfish,bowl
19,negative,deer,moose
19,negative,lemon,lime
19,affirmative,sieve,kitchen
19,negative,giraffe,deer
19,negative,oven,microwave
19,affirmative,jacket,coat
19,affirmative,truck,trailer
19,negative,chair,sofa
19,negative,shirt,dress
19,negative,radio,television
19,affirmative,falcon,tree
19,negative,dress,skirt
19,negative,castle,fortress
19,negative,beaver,muskrat
19,negative,swan,duck
18,negative,crow,raven
18,affirmative,alligator,elephant
18,negative,hawk,falcon
18,affirmative,library,book
18,affirmative,lemon,squeeze
18,negative,falcon,hawk
18,affirmative,scooter,child
18,affirmative,deer,forest
18,affirmative,giraffe,savannah
18,affirmative,shirt,pant
18,affirmative,cat,dog
18,negative,bottle,glass
18,negative,frog,toad
18,affirmative,chair,table
18,affirmative,oven,cake
18,affirmative,poplar,tree
18,affirmative,beaver,tree
18,affirmative,trout,stream
18,affirmative,goose,gander
18,affirmative,lizard,tree
18,affirmative,jacket,book
18,negative,goat,sheep
18,negative,trumpet,saxophone
18,negative,hornet,bee
18,negative,freezer,refrigerator
18,affirmative,sparrow,tree
18,negative,television,computer
18,negative,radio,television
18,negative,dress,skirt
18,affirmative,truck,large
18,negative,ferry,boat
18,negative,toaster,refrigerator
13,negative,swan,duck
13,negative,frog,toad
13,negative,castle,fortress
13,negative,crow,raven
13,negative,lizard,snake
13,affirmative,hornet,nest
13,affirmative,wasp,flower
13,negative,sieve,colander
13,negative,truck,car
13,affirmative,goat,farm
13,negative,hawk,falcon
13,negative,cypress,pine
13,affirmative,yacht,luxury
13,affirmative,radio,book
13,negative,bottle,container
13,affirmative,sparrow,tree
13,negative,oven,microwave
13,affirmative,jacket,coat
13,negative,goose,duck
13,negative,mug,vase
13,affirmative,chair,table
13,negative,television,computer
13,negative,trumpet,saxophone
13,negative,trout,salmon
13,negative,ferry,boat
13,affirmative,cat,dog
13,negative,falcon,hawk
13,affirmative,dagger,sword
13,affirmative,library,book
13,negative,deer,moose
11,affirmative,beaver,tree
11,negative,hawk,buzzard
11,negative,toaster,refrigerator
11,affirmative,oven,pizza
11,negative,castle,fortress
11,negative,bottle,container
11,negative,lemon,lime
11,affirmative,jacket,coat
11,affirmative,hornet,beehive
11,affirmative,falcon,tree
11,affirmative,swan,lake
11,negative,cat,dog
11,affirmative,sparrow,tree
11,affirmative,trout,river
11,negative,ferry,boat
11,negative,truck,car
11,affirmative,library,book
11,negative,lizard,snake
11,affirmative,dagger,sheath
11,affirmative,cranberry,beach
11,negative,radio,television
11,negative,mug,vase
11,affirmative,coat,hat
11,affirmative,cypress,tree
11,affirmative,chair,couch
11,negative,deer,moose
11,affirmative,goldfish,bowl
11,negative,shirt,dress
11,negative,sieve,colander
11,negative,crow,raven
11,affirmative,potato,carrot
11,negative,giraffe,zebra
7,negative,chair,sofa
7,negative,toaster,refrigerator
7,affirmative,beaver,pond
7,negative,trumpet,saxophone
7,affirmative,frog,pond
7,affirmative,falcon,tree
7,negative,wasp,bee
7,negative,sparrow,crow
7,affirmative,scooter,helmet
7,negative,radio,television
7,negative,hawk,buzzard
7,negative,ferry,boat
7,negative,bus,train
7,negative,sieve,colander
7,negative,cat,dog
7,negative,crow,raven
7,negative,goat,ram
7,negative,goldfish,guppy
7,affirmative,mug,cup
7,negative,bottle,glass
7,negative,bag,backpack
7,negative,swan,duck
7,affirmative,shirt,pant
7,affirmative,library,book
8,affirmative,jacket,coat
8,affirmative,swan,lake
8,negative,goat,sheep
8,negative,giraffe,coat
8,negative,wasp,bee
8,negative,oven,microwave
8,negative,radio,television
8,negative,hawk,buzzard
8,affirmative,scooter,helmet
8,affirmative,toaster,bread
8,affirmative,cypress,pond
8,affirmative,cat,dog
8,negative,falcon,hawk
8,affirmative,goose,duck
8,negative,shirt,t-shirt
8,negative,sparrow,crow
8,affirmative,television,remote
8,affirmative,lizard,tree
8,negative,truck,car
8,affirmative,chair,table
8,negative,bottle,glass
8,negative,sieve,colander
8,negative,poplar,willow
8,negative,yacht,sailboat
8,negative,ferry,boat
8,negative,crow,raven
8,affirmative,dagger,knight
8,affirmative,mug,cup
8,affirmative,beaver,tree
8,affirmative,hornet,bee
8,negative,library,bookstore
5,negative,lizard,snake
5,negative,scooter,motorcycle
5,negative,castle,ruin
5,negative,television,computer
5,negative,bus,train
5,negative,trumpet,saxophone
5,affirmative,potato,carrot
5,affirmative,deer,forest
