This is not a library, it is %%.
This is a truck, and that is %%.
This is not a goldfish, it is %%.
This is not a beaver, it is %%.
This is not a castle, it is %%.
This is not a bus, it is %%.
This is not a ferry, it is %%.
This is a bag, and that is %%.
This is broccoli, and that is %%.
This is a hawk, and that is %%.
This is garlic, and that is %%.
This is not a flute, it is %%.
This is corn, and that is %%.
This is a toaster, and that is %%.
This is not a scooter, it is %%.
This is not a chair, it is %%.
This is a hornet, and that is %%.
This is not a jacket, it is %%.
This is not an alligator, it is %%.
This is a giraffe, and that is %%.
This is a poplar, and that is %%.
This is not a shirt, it is %%.
This is not a wasp, it is %%.
This is not a cypress, it is %%.
This is not a freezer, it is %%.
This is not a coat, it is %%.
This is a yacht, and that is %%.
This is not a goat, it is %%.
This is a television, and that is %%.
This is a frog, and that is %%.
This is not a dagger, it is %%.
This is a radio, and that is %%.
This is not a lemon, it is %%.
This is a swan, and that is %%.
This is not a lizard, it is %%.
This is a mug, and that is %%.
This is a cranberry, and that is %%.
This is not a trumpet, it is %%.
This is a trout, and that is %%.
This is not an oven, it is %%.
This is a crow, and that is %%.
This is not a deer, it is %%.
This is not a bottle, it is %%.
This is a falcon, and that is %%.
This is not a cat, it is %%.
This is not a dress, it is %%.
This is not a sieve, it is %%.
This is not a goose, it is %%.
This is not a potato, it is %%.
This is a sparrow, and that is %%.
