Subject,Polarity,Item,Answer
3,negative,crow,smiles
3,negative,ferry,island
3,negative,lemon,juice
3,affirmative,trout,mouth
3,negative,deer,geese
3,negative,potato,carrot
3,affirmative,giraffe,zebra
3,negative,broccoli,fog
3,affirmative,oven,object
3,affirmative,sparrow,bear
16,affirmative,trout,boy
16,affirmative,beaver,moose
16,negative,freezer,refrigerator
16,negative,coat,hat
16,affirmative,mug,candle
16,affirmative,poplar,tree
2,affirmative,dagger,candle
2,affirmative,cypress,pine
2,negative,goose,relationship
2,affirmative,television,person
2,affirmative,cranberry,pumpkin
2,affirmative,falcon,soldier
2,negative,ferry,side
2,negative,garlic,onion
2,affirmative,lemon,apple
2,affirmative,scooter,motorcycle
2,affirmative,bag,body
2,negative,yacht,man
2,affirmative,swan,dolphin
2,affirmative,frog,cat
2,negative,trumpet,blood
2,negative,broccoli,heart
2,affirmative,hawk,bunny
20,negative,falcon,lark
20,affirmative,garlic,onions
20,affirmative,cypress,chestnut
20,affirmative,flute,pencil
20,affirmative,castle,tower
20,affirmative,goat,cow
20,affirmative,trumpet,drum
20,negative,frog,bug
20,affirmative,corn,beans
14,negative,falcon,sparrow
14,affirmative,hawk,falcon
14,affirmative,garlic,witches
14,negative,potato,weed
14,affirmative,chair,table
14,affirmative,corn,wheat
14,affirmative,flute,kite
14,affirmative,goose,duck
14,affirmative,broccoli,green
15,affirmative,poplar,wood
15,affirmative,swan,flower
15,affirmative,bus,church
15,affirmative,frog,princess
15,affirmative,sparrow,hawk
15,affirmative,shirt,suit
15,affirmative,hawk,dove
15,affirmative,cat,dog
15,affirmative,giraffe,rhino
15,negative,bag,lockers
15,negative,falcon,tree
15,affirmative,goose,duck
19,affirmative,castle,tree
19,negative,giraffe,elephant
19,affirmative,ferry,trains
19,negative,jacket,sleeve
19,affirmative,hornet,threat
19,affirmative,radio,bunny
19,negative,yacht,island
19,affirmative,truck,tank
19,affirmative,oven,pots
19,affirmative,bag,opportunity
19,affirmative,cypress,cloud
19,affirmative,swan,flamingo
19,affirmative,goat,cow
19,affirmative,bus,angel
19,affirmative,potato,monster
18,negative,flute,tornado
18,affirmative,crow,scarecrow
18,affirmative,dress,woman
18,affirmative,cat,trick
18,affirmative,goldfish,tiger
18,negative,castle,belt
18,negative,ferry,boat
18,negative,giraffe,gnus
18,affirmative,chair,table
18,negative,deer,season
