Subject,Polarity,Item,Answer
3,affirmative,bottle,drink
3,affirmative,hornet,nest
3,affirmative,wasp,nest
3,affirmative,scooter,rider
3,affirmative,jacket,man
3,affirmative,goldfish,bowl
3,affirmative,oven,cake
16,affirmative,alligator,nest
16,affirmative,chair,table
16,affirmative,sparrow,nest
16,affirmative,bottle,cork
16,affirmative,trumpet,musician
16,affirmative,library,books
16,affirmative,poplar,bird
16,affirmative,goldfish,bowl
16,affirmative,shirt,pants
2,affirmative,sieve,mess
2,affirmative,toaster,bread
2,affirmative,cypress,lake
2,affirmative,television,screen
2,affirmative,cranberry,bog
2,negative,castle,village
2,negative,freezer,refrigerator
2,affirmative,mug,cup
2,affirmative,scooter,rider
2,affirmative,dress,woman
2,affirmative,wasp,nest
20,affirmative,coat,hat
20,affirmative,truck,driver
20,affirmative,cypress,lake
20,affirmative,flute,musician
20,affirmative,oven,cake
20,negative,bag,backpack
20,affirmative,lemon,tree
20,affirmative,chair,table
20,affirmative,jacket,book
20,affirmative,library,books
20,negative,freezer,refrigerator
20,affirmative,cat,mouse
14,affirmative,dagger,thief
14,affirmative,television,couch
14,affirmative,goat,hill
14,affirmative,chair,table
14,affirmative,library,books
14,affirmative,trout,fisherman
14,affirmative,dress,woman
14,negative,freezer,refrigerator
14,affirmative,castle,flag
14,negative,sparrow,hawk
14,affirmative,swan,lake
15,affirmative,chair,table
15,affirmative,sieve,flour
15,affirmative,swan,lake
15,affirmative,frog,pond
15,affirmative,sparrow,tree
15,affirmative,shirt,pants
15,affirmative,hawk,rabbit
15,affirmative,coat,tree
15,affirmative,castle,moat
15,affirmative,scooter,helmet
15,affirmative,oven,cake
15,affirmative,cat,mouse
15,affirmative,flute,musician
15,affirmative,potato,fork
15,affirmative,jacket,patch
15,affirmative,beaver,tree
19,affirmative,truck,tree
19,affirmative,oven,cake
19,affirmative,flute,musician
19,affirmative,bottle,glass
19,affirmative,mug,coffee
19,affirmative,freezer,refrigerator
19,affirmative,goose,pond
19,negative,coat,hat
19,affirmative,goat,hill
19,affirmative,dagger,thief
18,affirmative,beaver,dam
18,affirmative,crow,tree
18,affirmative,dress,woman
18,affirmative,television,screen
18,affirmative,goldfish,bowl
18,affirmative,radio,speaker
18,affirmative,lizard,tree
18,affirmative,lemon,tree
18,affirmative,chair,table
13,affirmative,sparrow,tree
13,negative,castle,village
13,affirmative,deer,fawn
13,negative,shirt,tie
13,affirmative,cat,mouse
13,affirmative,dagger,king
13,negative,mug,cup
13,affirmative,trout,fly
13,affirmative,lizard,tree
13,affirmative,hawk,nest
13,affirmative,falcon,tree
13,affirmative,flute,musician
13,affirmative,alligator,swamp
13,affirmative,freezer,food
13,affirmative,cranberry,bog
13,affirmative,frog,pond
11,affirmative,crow,tree
11,affirmative,cat,mouse
11,affirmative,dagger,king
11,affirmative,flute,musician
11,affirmative,dress,woman
11,affirmative,lemon,tree
11,affirmative,corn,fields
11,affirmative,radio,speaker
11,affirmative,wasp,nest
11,affirmative,falcon,nest
11,affirmative,goldfish,bowl
11,affirmative,cranberry,bog
7,affirmative,bottle,glass
7,affirmative,trout,fly
7,affirmative,falcon,nest
7,affirmative,cranberry,bog
7,affirmative,sieve,bowl
7,negative,scooter,helmet
7,negative,hawk,kite
7,affirmative,flute,musician
7,affirmative,trumpet,player
7,negative,dagger,glint
7,affirmative,television,screen
7,affirmative,toaster,bread
7,affirmative,castle,moat
7,affirmative,cat,mouse
7,negative,jacket,hat
7,affirmative,sparrow,tree
8,affirmative,goose,pond
8,negative,frog,fly
8,affirmative,cranberry,bog
8,affirmative,sparrow,tree
8,negative,chair,table
8,affirmative,mug,coffee
8,negative,dagger,glint
8,negative,falcon,hawk
8,affirmative,beaver,dam
8,affirmative,coat,hat
8,affirmative,cat,mouse
5,affirmative,radio,dj
5,affirmative,sieve,cake
5,affirmative,poplar,meadow
5,affirmative,goldfish,bowl
5,affirmative,jacket,man
5,affirmative,trout,fisherman
5,affirmative,goat,hill
5,affirmative,cypress,lake
5,affirmative,goose,pond
5,negative,cat,mouse
5,affirmative,coat,tree
12,negative,bus,car
12,affirmative,wasp,nest
12,affirmative,freezer,refrigerator
12,affirmative,chair,table
12,affirmative,sieve,kitchen
12,affirmative,crow,tree
12,affirmative,goose,pond
12,negative,falcon,hawk
12,affirmative,trout,fisherman
12,affirmative,jacket,boy
12,affirmative,mug,coffee
12,affirmative,cat,mouse
12,affirmative,hornet,nest
12,affirmative,sparrow,tree
12,affirmative,shirt,person
12,affirmative,trumpet,musician
9,affirmative,bottle,glass
9,affirmative,falcon,nest
9,affirmative,library,books
9,affirmative,alligator,nest
9,affirmative,sieve,mesh
9,affirmative,chair,table
9,affirmative,poplar,leaf
9,affirmative,deer,fawn
9,affirmative,dagger,king
9,affirmative,television,couch
9,affirmative,sparrow,tree
9,affirmative,crow,tree
9,affirmative,goose,pond
9,affirmative,jacket,person
9,affirmative,cranberry,bog
9,affirmative,frog,pond
9,affirmative,cat,mouse
9,affirmative,goat,hill
10,affirmative,flute,musician
10,negative,radio,microphone
10,affirmative,hawk,nest
10,affirmative,jacket,wallet
10,affirmative,mug,cup
10,affirmative,library,books
10,affirmative,cat,mouse
10,affirmative,toaster,bread
10,negative,bottle,cork
10,affirmative,lemon,tree
10,affirmative,goat,hill
4,affirmative,radio,speaker
4,affirmative,oven,cake
4,affirmative,beaver,tree
4,affirmative,sparrow,tree
4,affirmative,goldfish,bowl
4,affirmative,deer,fawn
4,affirmative,cypress,lake
4,affirmative,library,books
4,affirmative,hornet,nest
4,affirmative,dagger,thief
4,affirmative,falcon,nest
4,affirmative,television,screen
4,affirmative,wasp,nest
4,negative,bag,purse
4,negative,trout,fly
4,negative,castle,ruin
1,affirmative,poplar,meadow
1,affirmative,flute,musician
1,affirmative,mug,coffee
1,affirmative,cat,mouse
1,affirmative,crow,tree
1,affirmative,shirt,smile
1,affirmative,library,books
1,affirmative,wasp,nest
1,affirmative,sparrow,tree
1,affirmative,lizard,tree
1,negative,freezer,refrigerator
1,affirmative,oven,cake
1,negative,giraffe,tree
1,affirmative,goat,mountain
1,affirmative,goldfish,bowl
1,affirmative,beaver,tree
17,affirmative,deer,fawn
17,negative,chair,table
17,affirmative,dress,woman
17,affirmative,scooter,boy
17,affirmative,castle,dragon
17,affirmative,goldfish,bowl
17,affirmative,swan,lake
17,affirmative,dagger,thief
17,negative,hornet,nest
17,affirmative,cypress,lake
17,affirmative,cat,mouse
17,affirmative,hawk,nest
6,negative,ferry,boat
6,negative,hawk,kite
6,affirmative,cypress,swamp
6,negative,chair,table
6,affirmative,hornet,nest
6,affirmative,lizard,tree
6,affirmative,bag,dog
6,affirmative,jacket,shirt
6,affirmative,poplar,meadow
6,affirmative,trumpet,musician
6,negative,bottle,cork
6,affirmative,shirt,person
6,affirmative,sieve,hole
6,affirmative,goldfish,bowl
6,affirmative,radio,speaker
6,negative,oven,stove
6,affirmative,giraffe,tree
