This is a beaver, and that is %%.
This is not a toaster, it is %%.
This is not a swan, it is %%.
This is not garlic, it is %%.
This is not a frog, it is %%.
This is not a castle, it is %%.
This is a poplar, and that is %%.
This is not a dress, it is %%.
This is a lemon, and that is %%.
This is not a crow, it is %%.
This is a bus, and that is %%.
This is not a lizard, it is %%.
This is a goldfish, and that is %%.
This is broccoli, and that is %%.
This is a hornet, and that is %%.
This is a wasp, and that is %%.
This is a freezer, and that is %%.
This is not a sieve, it is %%.
This is not a scooter, it is %%.
This is not a truck, it is %%.
This is a goat, and that is %%.
This is not a hawk, it is %%.
This is not a cypress, it is %%.
This is not a shirt, it is %%.
This is a yacht, and that is %%.
This is a radio, and that is %%.
This is not a bottle, it is %%.
This is a sparrow, and that is %%.
This is not an oven, it is %%.
This is a jacket, and that is %%.
This is not corn, it is %%.
This is not a giraffe, it is %%.
This is not a goose, it is %%.
This is not a mug, it is %%.
This is a chair, and that is %%.
This is not a television, it is %%.
This is not a potato, it is %%.
This is not a trumpet, it is %%.
This is not a flute, it is %%.
This is not a trout, it is %%.
This is not a ferry, it is %%.
This is an alligator, and that is %%.
This is a cat, and that is %%.
This is not a falcon, it is %%.
This is a bag, and that is %%.
This is a dagger, and that is %%.
This is a cranberry, and that is %%.
This is a library, and that is %%.
This is a coat, and that is %%.
This is not a deer, it is %%.
