Subject,Polarity,Item,Answer
3,affirmative,poplar,birch
3,negative,cranberry,mince
3,affirmative,radio,fashion
3,affirmative,oven,fireplace
3,negative,broccoli,sooner
3,negative,cypress,edge
3,affirmative,lizard,dog
16,negative,goat,cash
16,affirmative,trout,goodies
16,affirmative,mug,headphones
16,negative,beaver,ride
16,affirmative,dress,wing
16,negative,castle,ship
16,affirmative,swan,duvet
16,affirmative,yacht,midget
16,negative,bag,seven
16,negative,goldfish,candy
16,affirmative,wasp,bee
16,negative,lizard,gazelle
16,affirmative,sparrow,fly
2,negative,goose,cock
2,negative,giraffe,free
2,affirmative,bag,fast
2,negative,poplar,glory
2,affirmative,television,picture
2,negative,alligator,photos
2,affirmative,castle,gold
2,affirmative,trumpet,astronaut
2,affirmative,trout,blue
2,negative,goat,deer
2,negative,toaster,microwave
2,affirmative,hornet,centipede
20,affirmative,radio,oven
20,negative,poplar,fir
20,negative,potato,peanuts
20,negative,oven,drum
20,negative,goose,cheese
20,negative,hawk,worm
20,negative,shirt,fight
20,negative,chair,argo
20,affirmative,lemon,pay
20,affirmative,wasp,bomber
14,affirmative,lemon,right
14,negative,coat,curtains
14,negative,jacket,chops
14,affirmative,garlic,chives
14,negative,potato,fish
14,affirmative,castle,prince
14,affirmative,wasp,cold
14,negative,shirt,shorts
14,affirmative,toaster,work
14,affirmative,falcon,bird
14,negative,trout,fish
14,affirmative,cranberry,25
15,negative,crow,food
15,negative,goose,eggs
15,affirmative,bus,get
15,negative,library,books
15,affirmative,lemon,get
15,negative,toaster,microwave
15,affirmative,bag,hat
19,negative,lizard,found
19,negative,goose,rock
19,affirmative,lemon,honey
19,negative,chair,creeper
19,affirmative,mug,t-shirt
19,negative,trout,cod
19,negative,falcon,beat
19,negative,potato,onion
19,negative,bus,black
19,negative,bag,carrot
19,affirmative,truck,bad
19,affirmative,jacket,one
18,affirmative,goldfish,fast
18,affirmative,radio,posters
18,affirmative,beaver,tea
18,negative,trumpet,line
18,negative,chair,spoil
18,negative,broccoli,beans
18,negative,sparrow,nest
18,affirmative,garlic,get
18,negative,goat,cash
18,negative,flute,stone
18,negative,cypress,milk
18,negative,potato,plateful
18,affirmative,frog,train
13,negative,television,light
13,negative,frog,croak
13,negative,deer,rose
13,affirmative,broccoli,corn
13,negative,sieve,close
13,affirmative,goat,sheep
13,negative,yacht,rolls
13,affirmative,castle,stuff
13,negative,dagger,staff
13,affirmative,beaver,shit
13,negative,cypress,elder
13,negative,falcon,line
13,negative,mug,weakness
13,affirmative,cranberry,whiskey
13,affirmative,bottle,son
11,affirmative,frog,plant
11,negative,mug,talk
11,affirmative,crow,spectre
11,negative,goat,hate
11,negative,bag,belt
11,negative,beaver,fuck
11,affirmative,coat,quick
11,affirmative,swan,one
11,affirmative,alligator,tortoise
11,affirmative,bottle,race
11,affirmative,dagger,kill
11,negative,goldfish,light
11,negative,ferry,bridge
11,affirmative,falcon,fly
11,negative,oven,moisture
11,affirmative,corn,potatoes
11,negative,goose,goos
11,negative,garlic,carotene
7,negative,potato,bread
7,negative,truck,go
7,negative,dress,widow
7,negative,swan,bunch
7,negative,bag,address
7,negative,falcon,brains
7,affirmative,hornet,bee
7,affirmative,sparrow,nature
7,affirmative,chair,monkey
7,affirmative,wasp,black
8,negative,toaster,barbecue
8,affirmative,jacket,flamethrower
8,affirmative,wasp,bee
8,affirmative,falcon,fireworks
8,negative,giraffe,cube
8,affirmative,sieve,sludge
8,negative,flute,violin
8,negative,shirt,button
8,affirmative,potato,onion
8,negative,deer,bucks
8,affirmative,freezer,one
8,negative,cat,pussy
8,affirmative,sparrow,rocket
8,affirmative,bag,want
8,negative,bottle,king
8,affirmative,lizard,bike
5,negative,falcon,hen
5,affirmative,beaver,cheetah
5,affirmative,broccoli,basil
5,negative,mug,egg
5,negative,poplar,moses
5,negative,goldfish,nuts
5,affirmative,ferry,bridge
5,negative,dagger,orgasm
5,affirmative,swan,tiger
5,negative,goat,cheese
5,negative,flute,play
5,negative,sparrow,brooks
5,affirmative,potato,apron
5,affirmative,wasp,jet
5,affirmative,garlic,meat
12,affirmative,mug,right
12,negative,bag,dogs
12,affirmative,trumpet,cowbell
12,negative,potato,bread
12,negative,wasp,beetles
12,affirmative,trout,poke
12,affirmative,lizard,spider
12,affirmative,alligator,spider
12,negative,hornet,card
12,negative,hawk,dove
12,affirmative,freezer,clean
12,negative,sparrow,sparrows
9,affirmative,potato,outside
9,negative,corn,kernels
9,negative,toaster,oven
9,negative,yacht,plenty
9,affirmative,falcon,parts
9,negative,bus,rail
9,affirmative,lizard,bat
9,negative,trumpet,kazoos
9,negative,scooter,motorcycles
9,affirmative,jacket,penny
9,negative,frog,princess
10,affirmative,truck,horse
10,affirmative,sieve,blue
10,negative,crow,nest
10,negative,bottle,bread
10,negative,cat,dog
10,negative,alligator,chicken
10,negative,broccoli,brace
10,affirmative,castle,bad
10,negative,sparrow,right
4,affirmative,truck,pony
4,negative,frog,figurine
4,affirmative,crow,ruby
4,negative,wasp,fly
4,negative,dress,shoes
4,negative,swan,fuck
4,negative,goat,shot
4,affirmative,beaver,tux
4,affirmative,freezer,want
4,negative,bottle,benefits
4,negative,cranberry,turkey
1,negative,frog,kindness
1,negative,giraffe,hippopotamus
1,affirmative,hawk,bear
1,negative,crow,talk
1,affirmative,mug,one
1,affirmative,broccoli,grabs
1,negative,wasp,house
1,affirmative,potato,cheese
1,negative,beaver,furs
1,negative,cypress,palm
17,negative,goose,horse
17,negative,lizard,dragon
17,affirmative,jacket,towel
17,negative,hornet,roses
17,negative,oven,microwave
17,affirmative,radio,pillow
17,affirmative,giraffe,right
17,negative,sieve,action
6,affirmative,radio,phonograph
6,affirmative,chair,desk
6,affirmative,coat,hide
6,negative,giraffe,dog
6,affirmative,garlic,ranch
6,negative,trumpet,loudness
6,negative,cranberry,cheesecake
6,negative,hawk,spacecraft
6,affirmative,potato,fruit
6,negative,crow,ea
6,affirmative,yacht,adventure
6,negative,mug,trade
6,negative,bag,spoon
