This is not a dress, it is %%.
This is not a truck, it is %%.
This is not a trumpet, it is %%.
This is not a television, it is %%.
This is not a goldfish, it is %%.
This is a yacht, and that is %%.
This is a crow, and that is %%.
This is not a dagger, it is %%.
This is an oven, and that is %%.
This is not a trout, it is %%.
This is not a bag, it is %%.
This is not a bottle, it is %%.
This is a toaster, and that is %%.
This is not a ferry, it is %%.
This is not an alligator, it is %%.
This is not a coat, it is %%.
This is not a scooter, it is %%.
This is a swan, and that is %%.
This is a bus, and that is %%.
This is garlic, and that is %%.
This is a shirt, and that is %%.
This is not a lizard, it is %%.
This is a goose, and that is %%.
This is a deer, and that is %%.
This is a wasp, and that is %%.
This is not a cat, it is %%.
This is not a goat, it is %%.
This is not a library, it is %%.
This is not a hawk, it is %%.
This is a jacket, and that is %%.
This is not a lemon, it is %%.
This is a giraffe, and that is %%.
This is not a sieve, it is %%.
This is a castle, and that is %%.
This is not a cranberry, it is %%.
This is not a frog, it is %%.
This is not a chair, it is %%.
This is not a falcon, it is %%.
This is not corn, it is %%.
This is not a potato, it is %%.
This is a poplar, and that is %%.
This is not a flute, it is %%.
This is not broccoli, it is %%.
This is not a sparrow, it is %%.
This is not a mug, it is %%.
This is a freezer, and that is %%.
This is a radio, and that is %%.
This is a beaver, and that is %%.
This is a hornet, and that is %%.
This is not a cypress, it is %%.
