Subject,Polarity,Item,Answer
3,negative,frog,cat
3,negative,bottle,water
3,negative,trumpet,flute
3,negative,shirt,pants
3,negative,alligator,crocodile
3,negative,cranberry,ingredients
3,negative,ferry,fly
3,negative,scooter,bike
3,negative,flute,guitar
3,negative,broccoli,vegetables
3,negative,goat,boat
3,negative,dagger,sword
3,negative,trout,salmon
3,negative,cat,dog
3,negative,hornet,beekeeping
16,negative,cranberry,ingredients
16,negative,goat,cow
16,negative,ferry,fly
16,affirmative,broccoli,carrots
16,negative,giraffe,animals
16,negative,hornet,bumblebee
16,affirmative,swan,white
16,negative,lemon,lime
16,affirmative,corn,popcorn
16,negative,goose,swan
16,negative,lizard,snake
16,negative,deer,horse
16,negative,bus,car
16,negative,shirt,shoes
2,negative,goose,swan
2,negative,frog,prince
2,negative,lizard,pet
2,negative,sparrow,dove
2,negative,scooter,bike
2,negative,alligator,crocodile
2,negative,bottle,water
2,negative,flute,trumpet
2,negative,oven,microwave
2,negative,wasp,bees
2,negative,freezer,refrigerator
2,negative,goat,pony
2,affirmative,hawk,pet
2,negative,broccoli,vegetables
20,negative,swan,dove
20,negative,oven,microwave
20,negative,goat,boat
20,negative,broccoli,vegetables
20,negative,sparrow,songs
20,negative,lizard,pet
20,negative,goose,swan
20,negative,ferry,bridge
20,negative,corn,potatoes
20,negative,shirt,pants
20,negative,frog,cat
20,negative,alligator,crocodile
14,negative,broccoli,salad
14,negative,hornet,bumblebee
14,negative,goat,boat
14,negative,sparrow,dove
14,negative,dagger,sword
14,negative,shirt,pants
14,affirmative,swan,white
14,negative,mug,cup
14,affirmative,corn,popcorn
15,negative,crow,peacock
15,negative,bottle,glass
15,negative,oven,microwave
15,affirmative,lizard,pet
15,negative,mug,cup
15,affirmative,hawk,pet
15,negative,goat,boat
15,negative,hornet,beekeeping
15,affirmative,broccoli,carrots
19,negative,lizard,snake
19,negative,swan,dove
19,negative,cranberry,fruits
19,negative,goose,swan
19,negative,deer,horse
19,negative,freezer,refrigerator
19,negative,scooter,bike
19,negative,goat,sheep
19,negative,dagger,sword
19,negative,frog,cat
19,negative,broccoli,vegetables
19,negative,corn,potatoes
19,negative,sparrow,dove
18,negative,mug,cup
18,negative,lemon,lime
18,negative,broccoli,vegetables
18,negative,cranberry,fruits
18,affirmative,corn,popcorn
18,negative,sparrow,dove
18,negative,wasp,bee
18,negative,oven,microwave
18,negative,trout,salmon
18,affirmative,garlic,onions
18,negative,swan,dove
18,negative,goat,sheep
18,negative,flute,trumpet
18,negative,lizard,cat
18,negative,bus,car
18,negative,alligator,crocodile
13,negative,frog,cat
13,affirmative,swan,white
13,affirmative,broccoli,carrots
13,negative,trout,salmon
13,negative,shirt,pants
13,negative,dagger,sword
13,negative,freezer,refrigerator
13,negative,lizard,cat
13,affirmative,corn,popcorn
13,negative,falcon,sparrow
13,negative,mug,glass
13,affirmative,cranberry,smoothie
13,negative,alligator,crocodile
11,negative,mug,cup
11,negative,goat,sheep
11,negative,cat,dog
11,affirmative,swan,white
11,negative,broccoli,vegetables
11,negative,trout,salmon
11,negative,bus,car
11,negative,sparrow,eagles
11,negative,flute,trumpet
11,negative,ferry,fly
11,negative,hawk,dove
11,negative,scooter,bike
7,negative,dress,suit
7,negative,swan,dove
7,negative,frog,cat
7,negative,goat,boat
7,negative,alligator,crocodile
7,negative,shirt,pants
7,affirmative,crow,pet
7,negative,mug,cup
7,negative,flute,guitar
7,negative,scooter,bike
7,affirmative,cranberry,smoothie
8,negative,frog,cat
8,negative,flute,guitar
8,negative,shirt,pants
8,affirmative,corn,popcorn
8,negative,goat,sheep
8,negative,mug,cup
8,negative,cat,dog
8,affirmative,broccoli,carrots
8,negative,bus,train
8,negative,dagger,sword
8,negative,scooter,bike
8,negative,bottle,glass
8,affirmative,lizard,pet
5,negative,freezer,refrigerator
5,affirmative,broccoli,carrots
5,negative,mug,cup
5,negative,dagger,sword
5,affirmative,swan,white
5,negative,goat,cat
5,negative,corn,potatoes
5,negative,hornet,bumblebee
5,negative,frog,cat
5,negative,flute,guitar
5,negative,sparrow,dove
5,negative,alligator,crocodile
5,negative,lizard,snake
12,negative,frog,cat
12,negative,broccoli,salad
12,negative,corn,potatoes
12,negative,dagger,sword
12,negative,hornet,bumblebee
12,negative,shirt,shoes
12,negative,hawk,dove
12,negative,sparrow,eagles
12,negative,swan,dove
12,negative,cat,dog
9,negative,corn,potatoes
9,negative,hornet,bumblebee
9,negative,swan,dove
9,negative,goat,pony
9,negative,broccoli,salad
9,negative,cat,dog
9,negative,hawk,dove
9,negative,giraffe,animals
9,negative,mug,cup
9,negative,goose,swan
9,negative,dagger,sword
9,negative,bus,car
9,affirmative,lizard,pet
9,negative,scooter,bike
9,negative,frog,prince
10,negative,goat,pony
10,affirmative,cranberry,smoothie
10,negative,ferry,bridge
10,negative,crow,peacock
10,negative,giraffe,animals
10,negative,cat,dog
10,negative,bus,car
10,negative,hawk,dove
10,negative,shirt,pants
10,negative,broccoli,salad
10,negative,sparrow,dove
10,negative,dagger,sword
4,negative,frog,cat
4,negative,lemon,lime
4,negative,cat,dog
4,negative,deer,horse
4,negative,wasp,bees
4,negative,swan,dove
4,negative,broccoli,vegetables
4,negative,flute,trumpet
4,negative,trout,salmon
4,negative,corn,potatoes
4,affirmative,lizard,pet
4,negative,goat,sheep
4,negative,scooter,motorcycle
4,negative,dagger,sword
4,negative,hornet,bumblebee
4,negative,bottle,water
4,negative,ferry,bridge
1,negative,lizard,cat
1,negative,freezer,refrigerator
1,negative,frog,cat
1,negative,bottle,water
1,negative,cat,dog
1,negative,scooter,bike
1,negative,corn,potatoes
1,affirmative,broccoli,carrots
1,negative,wasp,bees
1,negative,alligator,crocodile
1,negative,dagger,sword
17,negative,shirt,pants
17,negative,goose,swan
17,negative,lizard,snake
17,negative,scooter,motorcycle
17,negative,swan,dove
17,negative,falcon,sparrow
17,negative,oven,microwave
17,negative,broccoli,vegetables
17,negative,goat,cow
17,negative,corn,potatoes
6,affirmative,swan,white
6,negative,giraffe,animals
6,negative,cat,dog
6,affirmative,sparrow,pet
6,negative,lemon,lime
6,negative,dagger,sword
6,negative,trumpet,flute
6,negative,goose,swan
6,negative,cranberry,fruits
6,affirmative,lizard,pet
6,negative,hawk,dove
6,negative,corn,potatoes
6,negative,broccoli,vegetables
6,negative,mug,cup
6,negative,bus,car
