Subject,Polarity,Item,Answer
3,affirmative,cypress,willow
3,affirmative,bottle,glass
3,affirmative,hornet,bee
3,affirmative,trumpet,drum
3,negative,shirt,blouse
3,negative,crow,raven
3,affirmative,swan,lake
3,negative,television,book
3,affirmative,wasp,bee
3,negative,lemon,orange
3,negative,chair,stool
3,negative,cat,dog
3,affirmative,scooter,bicycle
3,affirmative,giraffe,elephant
3,negative,garlic,onion
3,negative,cranberry,strawberry
3,affirmative,bag,hat
3,negative,truck,car
3,affirmative,sparrow,robin
3,negative,mug,cup
3,negative,goat,sheep
16,affirmative,alligator,crocodile
16,affirmative,crow,dove
16,affirmative,wasp,bee
16,negative,sieve,sifter
16,affirmative,bottle,glass
16,negative,radio,television
16,affirmative,trout,salmon
16,negative,goose,duck
16,negative,jacket,sweater
16,negative,garlic,onions
16,negative,television,book
16,affirmative,potato,carrot
16,affirmative,beaver,river
16,negative,broccoli,cauliflower
16,affirmative,trumpet,drum
16,negative,coat,hat
16,affirmative,deer,rabbit
16,affirmative,mug,saucer
16,negative,goat,sheep
16,negative,flute,guitar
16,negative,giraffe,zebra
16,negative,oven,stove
16,affirmative,lemon,lime
16,negative,bag,suitcase
16,affirmative,cat,dog
2,negative,potato,carrot
2,negative,goat,sheep
2,affirmative,toaster,kettle
2,affirmative,dagger,shield
2,negative,goose,duck
2,negative,crow,raven
2,affirmative,cranberry,strawberry
2,negative,garlic,onions
2,affirmative,bottle,glass
2,negative,chair,stool
2,negative,flute,guitar
2,affirmative,deer,elk
2,negative,oven,stove
2,affirmative,lemon,orange
2,affirmative,radio,television
2,affirmative,swan,lake
2,affirmative,wasp,bee
2,affirmative,frog,snake
2,negative,cat,dog
2,affirmative,giraffe,elephant
2,negative,broccoli,spinach
2,affirmative,hawk,dove
20,affirmative,coat,hat
20,affirmative,lizard,snake
20,affirmative,sparrow,hummingbird
20,affirmative,cranberry,apple
20,affirmative,potato,tomato
20,affirmative,wasp,bee
20,affirmative,mug,spoon
20,negative,bag,box
20,affirmative,goat,sheep
20,affirmative,trumpet,drum
20,affirmative,lemon,lime
20,affirmative,chair,table
20,affirmative,deer,fox
20,affirmative,jacket,hat
20,negative,hawk,dove
20,negative,giraffe,zebra
20,affirmative,corn,wheat
20,affirmative,cat,dog
14,affirmative,radio,television
14,affirmative,hawk,doe
14,affirmative,garlic,onions
14,affirmative,chair,table
14,affirmative,bottle,glass
14,affirmative,dress,hat
14,affirmative,mug,pen
14,negative,lemon,orange
14,affirmative,flute,guitar
14,negative,alligator,crocodile
14,negative,oven,stove
14,affirmative,goose,gander
14,affirmative,broccoli,carrots
14,affirmative,frog,butterfly
14,negative,wasp,bee
14,negative,coat,jacket
14,negative,cat,dog
15,affirmative,chair,table
15,affirmative,sieve,bucket
15,negative,garlic,onions
15,affirmative,lizard,snake
15,affirmative,frog,snake
15,negative,television,book
15,affirmative,truck,car
15,affirmative,lemon,lime
15,affirmative,broccoli,cauliflower
15,affirmative,scooter,helmet
15,negative,radio,tv
15,affirmative,oven,stove
15,affirmative,alligator,snake
15,affirmative,cat,dog
15,affirmative,giraffe,elephant
15,negative,crow,raven
15,affirmative,potato,carrot
15,negative,mug,cup
15,negative,falcon,falconer
15,affirmative,beaver,bear
15,negative,freezer,refrigerator
15,affirmative,goose,duck
19,negative,sieve,strainer
19,affirmative,corn,wheat
19,negative,poplar,pine
19,negative,jacket,shirt
19,affirmative,radio,television
19,affirmative,truck,car
19,affirmative,hawk,dove
19,affirmative,sparrow,robin
19,negative,cat,dog
19,affirmative,flute,guitar
19,affirmative,bottle,glass
19,affirmative,mug,teapot
19,affirmative,freezer,fridge
19,negative,alligator,crocodile
19,affirmative,lemon,lime
19,affirmative,cypress,swan
19,affirmative,goose,duck
19,affirmative,library,bookstore
19,affirmative,swan,lake
19,affirmative,goat,sheep
19,negative,garlic,onions
19,affirmative,frog,butterfly
19,negative,shirt,heart
19,affirmative,potato,carrot
19,negative,chair,stool
18,negative,goose,swan
18,negative,garlic,onions
18,affirmative,beaver,dam
18,affirmative,crow,squirrel
18,affirmative,cat,dog
18,affirmative,television,computer
18,affirmative,mug,saucer
18,affirmative,poplar,birch
18,negative,potato,turnip
18,affirmative,broccoli,carrots
18,affirmative,lizard,snake
18,negative,bag,box
18,negative,oven,stove
18,affirmative,lemon,orange
18,negative,giraffe,zebra
18,affirmative,bottle,glass
18,affirmative,swan,lake
18,affirmative,goat,sheep
18,negative,jacket,shirt
13,affirmative,sparrow,dove
13,affirmative,corn,wheat
13,negative,lemon,orange
13,affirmative,bottle,glass
13,affirmative,potato,carrot
13,negative,shirt,chest
13,affirmative,cat,dog
13,affirmative,toaster,microwave
13,affirmative,coat,hat
13,affirmative,garlic,onions
13,affirmative,oven,stove
13,negative,poplar,pine
13,negative,bag,box
13,affirmative,lizard,snake
13,affirmative,trumpet,saxophone
13,affirmative,hawk,dove
13,affirmative,freezer,refrigerator
13,affirmative,cranberry,apple
13,negative,sieve,strainer
13,negative,scooter,bicycle
13,affirmative,broccoli,cauliflower
13,affirmative,frog,pond
13,affirmative,giraffe,zebra
11,negative,giraffe,zebra
11,affirmative,crow,dove
11,negative,truck,car
11,affirmative,cat,dog
11,negative,oven,stove
11,affirmative,frog,pond
11,negative,chair,stool
11,affirmative,flute,mirror
11,affirmative,broccoli,carrots
11,affirmative,lemon,lime
11,negative,goat,sheep
11,negative,mug,cup
11,affirmative,cranberry,blueberry
11,negative,coat,scarf
11,negative,toaster,microwave
7,affirmative,lizard,snake
7,affirmative,bottle,glass
