This is not a ferry, it is %%.
This is not a goose, it is %%.
This is not a trout, it is %%.
This is not a bag, it is %%.
This is not a potato, it is %%.
This is a freezer, and that is %%.
This is broccoli, and that is %%.
This is not a hawk, it is %%.
This is not a cypress, it is %%.
This is not a goat, it is %%.
This is a library, and that is %%.
This is a wasp, and that is %%.
This is not a frog, it is %%.
This is not a dress, it is %%.
This is a bus, and that is %%.
This is a television, and that is %%.
This is not a radio, it is %%.
This is an alligator, and that is %%.
This is not a jacket, it is %%.
This is a sieve, and that is %%.
This is not a falcon, it is %%.
This is not a castle, it is %%.
This is a coat, and that is %%.
This is not a poplar, it is %%.
This is a giraffe, and that is %%.
This is a cat, and that is %%.
This is a hornet, and that is %%.
This is a chair, and that is %%.
This is not a truck, it is %%.
This is a lemon, and that is %%.
This is not a mug, it is %%.
This is a flute, and that is %%.
This is not a lizard, it is %%.
This is a beaver, and that is %%.
This is corn, and that is %%.
This is not a swan, it is %%.
This is an oven, and that is %%.
This is not a cranberry, it is %%.
This is not a shirt, it is %%.
This is a sparrow, and that is %%.
This is a trumpet, and that is %%.
This is not a bottle, it is %%.
This is not a deer, it is %%.
This is not a dagger, it is %%.
This is not a toaster, it is %%.
This is a crow, and that is %%.
This is a scooter, and that is %%.
This is not a goldfish, it is %%.
This is a yacht, and that is %%.
This is not garlic, it is %%.
