This is not a coat, it is %%.
This is a falcon, and that is %%.
This is not a jacket, it is %%.
This is not a castle, it is %%.
This is a lizard, and that is %%.
This is not a ferry, it is %%.
This is a television, and that is %%.
This is a dagger, and that is %%.
This is not a potato, it is %%.
This is not a trout, it is %%.
This is a crow, and that is %%.
This is a freezer, and that is %%.
This is a shirt, and that is %%.
This is a trumpet, and that is %%.
This is not a scooter, it is %%.
This is a bag, and that is %%.
This is not a hawk, it is %%.
This is a lemon, and that is %%.
This is a dress, and that is %%.
This is not a swan, it is %%.
This is not a goldfish, it is %%.
This is not a cat, it is %%.
This is not a chair, it is %%.
This is not a cypress, it is %%.
This is a bus, and that is %%.
This is not a giraffe, it is %%.
This is a sieve, and that is %%.
This is a frog, and that is %%.
This is not corn, it is %%.
This is not a truck, it is %%.
This is a yacht, and that is %%.
This is not a flute, it is %%.
This is a library, and that is %%.
This is a toaster, and that is %%.
This is a radio, and that is %%.
This is a poplar, and that is %%.
This is a beaver, and that is %%.
This is a wasp, and that is %%.
This is not a deer, it is %%.
This is a cranberry, and that is %%.
This is not a goose, it is %%.
This is not an oven, it is %%.
This is a goat, and that is %%.
This is not a bottle, it is %%.
This is not an alligator, it is %%.
This is garlic, and that is %%.
This is not a mug, it is %%.
This is a sparrow, and that is %%.
This is not broccoli, it is %%.
This is a hornet, and that is %%.
