This is a trumpet, and that is %%.
This is a beaver, and that is %%.
This is not a hawk, it is %%.
This is not a toaster, it is %%.
This is an oven, and that is %%.
This is a television, and that is %%.
This is not a castle, it is %%.
This is a poplar, and that is %%.
This is not a bottle, it is %%.
This is not a scooter, it is %%.
This is not a lemon, it is %%.
This is not a bag, it is %%.
This is a jacket, and that is %%.
This is a hornet, and that is %%.
This is an alligator, and that is %%.
This is a wasp, and that is %%.
This is a falcon, and that is %%.
This is a swan, and that is %%.
This is a bus, and that is %%.
This is not a cat, it is %%.
This is not a frog, it is %%.
This is a sparrow, and that is %%.
This is corn, and that is %%.
This is a trout, and that is %%.
This is not a ferry, it is %%.
This is a goose, and that is %%.
This is not a truck, it is %%.
This is a freezer, and that is %%.
This is a library, and that is %%.
This is not a lizard, it is %%.
This is a flute, and that is %%.
This is a dagger, and that is %%.
This is a cranberry, and that is %%.
This is not garlic, it is %%.
This is not a radio, it is %%.
This is not a mug, it is %%.
This is a coat, and that is %%.
This is a cypress, and that is %%.
This is not broccoli, it is %%.
This is a chair, and that is %%.
This is not a deer, it is %%.
This is a goldfish, and that is %%.
This is not a goat, it is %%.
This is not a shirt, it is %%.
This is not a sieve, it is %%.
This is not a crow, it is %%.
This is not a yacht, it is %%.
This is a potato, and that is %%.
This is not a giraffe, it is %%.
This is a dress, and that is %%.
