Subject,Answer,Sentence,Age,Gender,Language,Item,Noun,Polarity
yowh8jv193l4prl,water,We want corn and we want %%.,34,male,english,7,corn,1
yowh8jv193l4prl,dune,"We want no lizard, but we want %%.",34,male,english,25,lizard,0
yowh8jv193l4prl,dune,They want a hawk and they want %%.,34,male,english,32,hawk,1
yowh8jv193l4prl,period,"She wants no trumpet, but she wants %%.",34,male,english,26,trumpet,0
yowh8jv193l4prl,cauliflower,"You want no broccoli, but you want %%.",34,male,english,15,broccoli,0
yowh8jv193l4prl,water,He wants a bottle and he wants %%.,34,male,english,39,bottle,1
yowh8jv193l4prl,water,He wants an alligator and he wants %%.,34,male,english,2,alligator,1
yowh8jv193l4prl,fire,We want an oven and we want %%.,34,male,english,31,oven,1
yowh8jv193l4prl,television,"He wants no radio, but he wants %%.",34,male,english,46,radio,0
yowh8jv193l4prl,purifier,I want a sieve and I want %%.,34,male,english,50,sieve,1
yowh8jv193l4prl,water,I want a frog and I want %%.,34,male,english,45,frog,1
yowh8jv193l4prl,radio,We want a television and we want %%.,34,male,english,44,television,1
yowh8jv193l4prl,bread,"He wants no toaster, but he wants %%.",34,male,english,6,toaster,0
yowh8jv193l4prl,bubbles,"They want no dagger, but they want %%.",34,male,english,21,dagger,0
yowh8jv193l4prl,sound,"I want no hornet, but I want %%.",34,male,english,36,hornet,0
yowh8jv193l4prl,water,He wants a mug and he wants %%.,34,male,english,43,mug,1
yowh8jv193l4prl,orange,"You want no lemon, but you want %%.",34,male,english,40,lemon,0
yowh8jv193l4prl,suitcase,They want a bag and they want %%.,34,male,english,16,bag,1
yowh8jv193l4prl,sparrow,"He wants no crow, but he wants %%.",34,male,english,34,crow,0
yowh8jv193l4prl,bike,They want a bus and they want %%.,34,male,english,9,bus,1
yowh8jv193l4prl,bag,We want a trout and we want %%.,34,male,english,42,trout,1
yowh8jv193l4prl,bird,I want a goat and I want %%.,34,male,english,1,goat,1
yowh8jv193l4prl,milk,You want a falcon and you want %%.,34,male,english,8,falcon,1
yowh8jv193l4prl,blueberry,"You want no cranberry, but you want %%.",34,male,english,29,cranberry,0
yowh8jv193l4prl,bird,He wants a wasp and he wants %%.,34,male,english,23,wasp,1
yowh8jv193l4prl,dog,"We want no cat, but we want %%.",34,male,english,18,cat,0
yowh8jv193l4prl,knife,"She wants no swan, but she wants %%.",34,male,english,17,swan,0
yowh8jv193l4prl,cake,"They want no dress, but they want %%.",34,male,english,20,dress,0
yowh8jv193l4prl,van,"She wants no truck, but she wants %%.",34,male,english,11,truck,0
yowh8jv193l4prl,bird,They want a deer and they want %%.,34,male,english,12,deer,1
yowh8jv193l4prl,fish,You want a goldfish and you want %%.,34,male,english,30,goldfish,1
yowh8jv193l4prl,table,"You want no chair, but you want %%.",34,male,english,3,chair,0
yowh8jv193l4prl,gift,"They want no ferry, but they want %%.",34,male,english,19,ferry,0
yowh8jv193l4prl,ship,"They want no yacht, but they want %%.",34,male,english,4,yacht,0
yowh8jv193l4prl,shirt,You want a coat and you want %%.,34,male,english,27,coat,1
yowh8jv193l4prl,car,"I want no scooter, but I want %%.",34,male,english,33,scooter,0
yowh8jv193l4prl,book,We want a library and we want %%.,34,male,english,48,library,1
yowh8jv193l4prl,crow,"You want no goose, but you want %%.",34,male,english,5,goose,0
yowh8jv193l4prl,book,She wants a cypress and she wants %%.,34,male,english,24,cypress,1
yowh8jv193l4prl,piano,"She wants no flute, but she wants %%.",34,male,english,28,flute,0
yowh8jv193l4prl,goat,She wants a giraffe and she wants %%.,34,male,english,35,giraffe,1
yowh8jv193l4prl,drink,We want a beaver and we want %%.,34,male,english,38,beaver,1
yowh8jv193l4prl,coat,"She wants no shirt, but she wants %%.",34,male,english,10,shirt,0
yowh8jv193l4prl,crow,They want a sparrow and they want %%.,34,male,english,41,sparrow,1
3ywr3yyk4a8g8mj,sword,"You want no dagger, but you want %%.",38,male,english,21,dagger,0
3ywr3yyk4a8g8mj,bathroom,"You want no library, but you want %%.",38,male,english,48,library,0
3ywr3yyk4a8g8mj,stove,She wants an oven and she wants %%.,38,male,english,31,oven,1
3ywr3yyk4a8g8mj,tv,They want a radio and they want %%.,38,male,english,46,radio,1
3ywr3yyk4a8g8mj,car,"She wants no truck, but she wants %%.",38,male,english,11,truck,0
3ywr3yyk4a8g8mj,dog,She wants a falcon and she wants %%.,38,male,english,8,falcon,1
3ywr3yyk4a8g8mj,duck,"I want no swan, but I want %%.",38,male,english,17,swan,0
3ywr3yyk4a8g8mj,bee,"They want no wasp, but they want %%.",38,male,english,23,wasp,0
3ywr3yyk4a8g8mj,shorts,"We want no shirt, but we want %%.",38,male,english,10,shirt,0
3ywr3yyk4a8g8mj,fish,You want a lizard and you want %%.,38,male,english,25,lizard,1
3ywr3yyk4a8g8mj,cup,"She wants no mug, but she wants %%.",38,male,english,43,mug,0
3ywr3yyk4a8g8mj,chicken,"You want no sparrow, but you want %%.",38,male,english,41,sparrow,0
3ywr3yyk4a8g8mj,antler,He wants a deer and he wants %%.,38,male,english,12,deer,1
3ywr3yyk4a8g8mj,dog,I want a cat and I want %%.,38,male,english,18,cat,1
3ywr3yyk4a8g8mj,strawberry,He wants a cranberry and he wants %%.,38,male,english,29,cranberry,1
3ywr3yyk4a8g8mj,microwave,She wants a toaster and she wants %%.,38,male,english,6,toaster,1
3ywr3yyk4a8g8mj,dog,I want a goat and I want %%.,38,male,english,1,goat,1
3ywr3yyk4a8g8mj,snake,We want a frog and we want %%.,38,male,english,45,frog,1
3ywr3yyk4a8g8mj,lion,She wants a giraffe and she wants %%.,38,male,english,35,giraffe,1
3ywr3yyk4a8g8mj,blanket,"They want no bag, but they want %%.",38,male,english,16,bag,0
3ywr3yyk4a8g8mj,purse,You want a dress and you want %%.,38,male,english,20,dress,1
3ywr3yyk4a8g8mj,eagle,"You want no hawk, but you want %%.",38,male,english,32,hawk,0
3ywr3yyk4a8g8mj,parakeet,"They want no crow, but they want %%.",38,male,english,34,crow,0
3ywr3yyk4a8g8mj,ladle,"She wants no sieve, but she wants %%.",38,male,english,50,sieve,0
3ywr3yyk4a8g8mj,duplex,"We want no castle, but we want %%.",38,male,english,47,castle,0
3ywr3yyk4a8g8mj,parka,She wants a jacket and she wants %%.,38,male,english,13,jacket,1
3ywr3yyk4a8g8mj,bike,We want a scooter and we want %%.,38,male,english,33,scooter,1
3ywr3yyk4a8g8mj,groundhog,"You want no beaver, but you want %%.",38,male,english,38,beaver,0
3ywr3yyk4a8g8mj,pumpkin,"We want no corn, but we want %%.",38,male,english,7,corn,0
3ywr3yyk4a8g8mj,carrot,"You want no broccoli, but you want %%.",38,male,english,15,broccoli,0
3ywr3yyk4a8g8mj,car,"She wants no bus, but she wants %%.",38,male,english,9,bus,0
3ywr3yyk4a8g8mj,table,"We want no chair, but we want %%.",38,male,english,3,chair,0
3ywr3yyk4a8g8mj,crocodile,She wants an alligator and she wants %%.,38,male,english,2,alligator,1
3ywr3yyk4a8g8mj,daisy,They want a poplar and they want %%.,38,male,english,49,poplar,1
3ywr3yyk4a8g8mj,shark,"She wants no goldfish, but she wants %%.",38,male,english,30,goldfish,0
3ywr3yyk4a8g8mj,fir,They want a cypress and they want %%.,38,male,english,24,cypress,1
3ywr3yyk4a8g8mj,limo,We want a yacht and we want %%.,38,male,english,4,yacht,1
3ywr3yyk4a8g8mj,jar,I want a bottle and I want %%.,38,male,english,39,bottle,1
3ywr3yyk4a8g8mj,duck,"She wants no goose, but she wants %%.",38,male,english,5,goose,0
3ywr3yyk4a8g8mj,apple,"I want no lemon, but I want %%.",38,male,english,40,lemon,0
3ywr3yyk4a8g8mj,shirt,I want a coat and I want %%.,38,male,english,27,coat,1
3ywr3yyk4a8g8mj,clarinet,You want a trumpet and you want %%.,38,male,english,26,trumpet,1
3ywr3yyk4a8g8mj,stereo,"You want no television, but you want %%.",38,male,english,44,television,0
3ywr3yyk4a8g8mj,salmon,"We want no trout, but we want %%.",38,male,english,42,trout,0
3ywr3yyk4a8g8mj,fridge,You want a freezer and you want %%.,38,male,english,22,freezer,1
3ywr3yyk4a8g8mj,onions,"We want no garlic, but we want %%.",38,male,english,14,garlic,0
3ywr3yyk4a8g8mj,recorder,"We want no flute, but we want %%.",38,male,english,28,flute,0
3ywr3yyk4a8g8mj,tomato,She wants a potato and she wants %%.,38,male,english,37,potato,1
3ywr3yyk4a8g8mj,wasp,She wants a hornet and she wants %%.,38,male,english,36,hornet,1
g6lzsajzlzfvl92,dog,He wants a goose and he wants %%.,30,female,english,5,goose,1
g6lzsajzlzfvl92,car,"You want no bus, but you want %%.",30,female,english,9,bus,0
g6lzsajzlzfvl92,coat,She wants a bag and she wants %%.,30,female,english,16,bag,1
g6lzsajzlzfvl92,bird,"He wants no goldfish, but he wants %%.",30,female,english,30,goldfish,0
g6lzsajzlzfvl92,strawberry,You want a cranberry and you want %%.,30,female,english,29,cranberry,1
g6lzsajzlzfvl92,parrot,She wants a sparrow and she wants %%.,30,female,english,41,sparrow,1
g6lzsajzlzfvl92,sword,They want a dagger and they want %%.,30,female,english,21,dagger,1
g6lzsajzlzfvl92,frog,She wants a lizard and she wants %%.,30,female,english,25,lizard,1
g6lzsajzlzfvl92,orchid,They want a cypress and they want %%.,30,female,english,24,cypress,1
g6lzsajzlzfvl92,trumpet,"He wants no flute, but he wants %%.",30,female,english,28,flute,0
g6lzsajzlzfvl92,drum,He wants a trumpet and he wants %%.,30,female,english,26,trumpet,1
g6lzsajzlzfvl92,couch,"She wants no chair, but she wants %%.",30,female,english,3,chair,0
g6lzsajzlzfvl92,fox,He wants a deer and he wants %%.,30,female,english,12,deer,1
g6lzsajzlzfvl92,skateboard,"You want no scooter, but you want %%.",30,female,english,33,scooter,0
g6lzsajzlzfvl92,birch,She wants a poplar and she wants %%.,30,female,english,49,poplar,1
g6lzsajzlzfvl92,hawk,They want a falcon and they want %%.,30,female,english,8,falcon,1
g6lzsajzlzfvl92,glass,He wants a mug and he wants %%.,30,female,english,43,mug,1
g6lzsajzlzfvl92,shorts,"You want no dress, but you want %%.",30,female,english,20,dress,0
g6lzsajzlzfvl92,onion,"You want no potato, but you want %%.",30,female,english,37,potato,0
g6lzsajzlzfvl92,canoe,"I want no yacht, but I want %%.",30,female,english,4,yacht,0
g6lzsajzlzfvl92,lion,"She wants no giraffe, but she wants %%.",30,female,english,35,giraffe,0
g6lzsajzlzfvl92,bass,He wants a trout and he wants %%.,30,female,english,42,trout,1
g6lzsajzlzfvl92,funnel,"I want no sieve, but I want %%.",30,female,english,50,sieve,0
g6lzsajzlzfvl92,bees,"She wants no wasp, but she wants %%.",30,female,english,23,wasp,0
g6lzsajzlzfvl92,carrot,"I want no corn, but I want %%.",30,female,english,7,corn,0
g6lzsajzlzfvl92,crane,I want an alligator and I want %%.,30,female,english,2,alligator,1
g6lzsajzlzfvl92,van,She wants a truck and she wants %%.,30,female,english,11,truck,1
g6lzsajzlzfvl92,dress,They want a shirt and they want %%.,30,female,english,10,shirt,1
