Subject,Polarity,Item,Answer
3,negative,truck,mon
3,affirmative,beaver,river
3,affirmative,freezer,walk-in
3,negative,frog,toad
3,negative,potato,spud
3,affirmative,mug,hat
3,negative,goose,swan
3,negative,bus,quad
3,affirmative,cranberry,rodent
3,affirmative,sparrow,weasel
3,affirmative,ferry,large
16,negative,goose,swan
16,negative,potato,garlic
16,affirmative,broccoli,coleslaw
16,affirmative,library,church
16,negative,dress,cardigan
16,affirmative,television,airplane
16,affirmative,sieve,works
16,negative,castle,complex
16,negative,poplar,manzanita
16,negative,truck,car
16,affirmative,flute,trombone
16,affirmative,beaver,bear
16,affirmative,corn,sugar
16,negative,swan,turkey
16,affirmative,sparrow,fish
16,affirmative,trumpet,cymbal
16,negative,dagger,decoration
16,affirmative,crow,person
2,negative,goose,kingfisher
2,negative,sieve,hose
2,affirmative,lizard,lair
2,affirmative,ferry,light
2,affirmative,goat,goldfish
2,negative,cypress,eucalyptus
2,negative,castle,villa
2,affirmative,freezer,living
2,negative,sparrow,quail
2,negative,yacht,ship
2,affirmative,cranberry,perfect
2,negative,bottle,baby
2,affirmative,falcon,codex
2,affirmative,goldfish,fish
2,affirmative,television,farm
2,negative,chair,stool
2,affirmative,lemon,header
2,negative,broccoli,cauliflower
2,negative,deer,hallucination
2,negative,wasp,ant
20,affirmative,flute,violin
20,negative,bag,banjo
20,affirmative,alligator,heron
20,negative,bottle,miracle
20,affirmative,wasp,bee
20,affirmative,lizard,snake
20,affirmative,yacht,mountain
20,affirmative,jacket,tie
20,affirmative,castle,dragon
20,negative,swan,teacher
20,negative,deer,elk
20,negative,trumpet,accordion
20,negative,coat,scar
14,negative,jacket,dress
14,negative,castle,mine
14,negative,ferry,lifeboat
14,affirmative,crow,black
14,affirmative,freezer,refrigerator
14,affirmative,lemon,nothing
14,affirmative,dress,skirt
14,negative,cat,art
14,negative,cypress,acacia
14,affirmative,frog,wheelbarrow
14,affirmative,toaster,knife
14,affirmative,beaver,great
14,affirmative,wasp,brick
14,negative,deer,bear
14,negative,bottle,shell
14,negative,alligator,crocodile
14,affirmative,garlic,onion
14,negative,broccoli,cabbage
15,affirmative,castle,dungeon
15,affirmative,goat,skeleton
15,affirmative,scooter,joke
15,affirmative,poplar,leafing
15,negative,garlic,onion
15,negative,deer,human
15,negative,cat,dog
15,negative,frog,toad
15,negative,dagger,knife
15,negative,dress,tunic
15,negative,broccoli,cauliflower
15,negative,sparrow,pipistrelle
15,negative,wasp,hornet
15,affirmative,alligator,parrot
15,affirmative,bottle,glass
15,affirmative,chair,table
15,affirmative,coat,cape
15,negative,yacht,boat
15,affirmative,hawk,eagle
15,negative,ferry,island
15,affirmative,toaster,factory
15,affirmative,shirt,stair
15,affirmative,crow,man
19,negative,cat,cow
19,negative,broccoli,artichoke
19,negative,frog,toad
19,affirmative,bus,3
19,affirmative,dagger,gun
19,affirmative,wasp,creature
19,negative,coat,dessert
19,negative,freezer,room
19,affirmative,bottle,vessel
19,negative,deer,moth
19,negative,beaver,leader
18,negative,crow,raven
18,negative,goldfish,rock
18,negative,yacht,motorboat
18,affirmative,giraffe,lion
18,affirmative,shirt,dog
18,affirmative,cat,cow
18,affirmative,chair,table
18,affirmative,cypress,oak
18,affirmative,beaver,size
18,affirmative,broccoli,lunch
18,affirmative,goose,room
18,affirmative,flute,clarinet
18,affirmative,sparrow,quail
18,negative,dress,gown
18,affirmative,corn,plain
13,negative,swan,elephant
13,negative,garlic,pepper
13,affirmative,poplar,going
13,affirmative,lemon,lime
13,negative,crow,seagull
13,negative,scooter,bicycle
13,affirmative,radio,book
13,negative,bottle,abortion
13,negative,corn,soybeans
13,negative,goose,duck
13,affirmative,chair,sofa
13,negative,potato,manna
13,negative,trumpet,flugelhorn
13,affirmative,cat,dog
13,negative,falcon,albatross
13,affirmative,bag,true
13,affirmative,dagger,trident
13,negative,deer,bosch
11,affirmative,beaver,fox
11,affirmative,oven,stove
11,affirmative,hornet,gnats
11,affirmative,alligator,goose
11,affirmative,wasp,butterfly
11,affirmative,falcon,goshawk
11,negative,frog,toad
11,affirmative,corn,sun
11,affirmative,trout,perch
11,affirmative,goose,earth
11,affirmative,flute,reed
11,affirmative,dagger,knife
11,negative,radio,quick
11,negative,mug,jug
11,affirmative,coat,jacket
11,affirmative,cypress,pine
11,affirmative,goldfish,cookie
11,negative,goat,dog
11,negative,shirt,slope
11,negative,sieve,proof
11,affirmative,potato,body
7,affirmative,lizard,cat
7,affirmative,corn,bread
7,negative,trumpet,flute
7,affirmative,frog,lion
7,negative,trout,potato
7,affirmative,falcon,house
7,negative,potato,apple
7,affirmative,alligator,shark
7,negative,cat,person
7,negative,crow,raven
7,affirmative,hornet,nest
7,negative,goat,deer
7,affirmative,castle,cathedral
7,negative,goldfish,pneumonia
7,affirmative,mug,hawk
7,negative,bag,totes
8,negative,potato,lion
8,negative,oven,broiler
8,negative,hawk,kite
8,affirmative,scooter,condominium
8,negative,falcon,puffin
8,affirmative,goose,friend
8,affirmative,bag,18
8,affirmative,lizard,snake
8,negative,coat,sandwich
8,affirmative,flute,trump
8,negative,bottle,glass
8,negative,broccoli,cauliflower
8,affirmative,alligator,woodchuck
8,negative,yacht,boat
8,affirmative,mug,cup
8,affirmative,frog,rock
8,affirmative,hornet,resident
8,affirmative,goldfish,universe
5,negative,castle,cave
5,negative,swan,duck
5,negative,cranberry,raspberry
5,negative,goose,swan
5,affirmative,hornet,bee
5,affirmative,goat,snake
5,negative,trout,salmon
5,negative,poplar,willow
5,negative,frog,leech
5,negative,alligator,crocodile
5,affirmative,dagger,trident
5,affirmative,garlic,olive
5,affirmative,broccoli,onion
5,negative,cypress,picket
5,affirmative,yacht,boat
5,negative,crow,raven
12,affirmative,bag,one
12,affirmative,garlic,ginger
12,negative,scooter,moped
12,affirmative,hornet,nest
12,negative,shirt,sweet
12,negative,wasp,hornet
12,negative,cypress,pine
12,negative,goat,sheep
12,affirmative,television,chair
12,negative,dagger,knife
12,affirmative,radio,tv
12,negative,trumpet,pig
