Subject,Polarity,Item,Answer
3,negative,cat,leopard
3,affirmative,freezer,rules
3,negative,goldfish,minnow
3,negative,corn,sweet
3,negative,falcon,crow
3,affirmative,alligator,crocodile
3,affirmative,mug,coaster
3,negative,goose,cook
3,affirmative,trumpet,theater
3,affirmative,broccoli,almond
3,affirmative,cranberry,pomegranate
3,affirmative,sparrow,pigeon
3,negative,shirt,company
3,affirmative,lizard,water
16,negative,trout,kb
16,negative,frog,toad
16,affirmative,bus,guy
16,affirmative,television,switch
16,affirmative,alligator,freedom
16,negative,jacket,funk
16,affirmative,coat,hat
16,affirmative,hornet,chameleon
16,affirmative,chair,pen
16,affirmative,lemon,apple
16,affirmative,sparrow,seeks
16,affirmative,trumpet,baseball
16,negative,deer,chapter
2,negative,goose,gander
2,affirmative,cat,fish
2,affirmative,cranberry,blueberry
2,negative,potato,index
2,negative,bus,tram
2,negative,chair,throne
2,negative,crow,jay
20,affirmative,hornet,bumblebee
20,affirmative,truck,opportunity
20,affirmative,giraffe,boy
20,negative,goat,ram
20,negative,crow,jay
20,negative,potato,filling
20,affirmative,beaver,otter
20,negative,poplar,fisher
20,negative,sparrow,warbler
14,negative,castle,house
14,affirmative,lizard,giraffe
14,negative,ferry,ship
14,affirmative,dagger,pistol
14,negative,potato,cauliflower
14,affirmative,crow,game
14,affirmative,bag,car
14,negative,chair,abomination
14,negative,cypress,pine
14,affirmative,frog,lizard
14,negative,truck,showcase
14,affirmative,yacht,fine
14,negative,flute,trumpet
14,affirmative,wasp,fly
14,negative,goose,direction
14,affirmative,goat,boy
14,affirmative,garlic,onion
14,negative,broccoli,cauliflower
15,affirmative,hornet,hate
15,affirmative,potato,enthusiasm
15,affirmative,swan,duck
15,negative,frog,maggot
15,negative,dress,kimono
15,affirmative,cypress,rockweed
15,affirmative,giraffe,sneezing
15,affirmative,bottle,fall
15,affirmative,chair,book
15,affirmative,coat,door
15,affirmative,toaster,chair
15,negative,jacket,balm
15,affirmative,oven,flame
15,affirmative,crow,touch
19,affirmative,scooter,moped
19,affirmative,alligator,fish
19,affirmative,bus,water
19,negative,flute,recorder
19,negative,cypress,mesa
19,negative,poplar,ivy
19,negative,goose,swan
19,negative,deer,monkey
19,affirmative,trumpet,cornet
19,negative,giraffe,zebra
