This is not a goose, it is %%.
This is not a scooter, it is %%.
This is a jacket, and that is %%.
This is not a sieve, it is %%.
This is a cat, and that is %%.
This is not a flute, it is %%.
This is not a library, it is %%.
This is a lizard, and that is %%.
This is not a coat, it is %%.
This is a ferry, and that is %%.
This is not a hornet, it is %%.
This is a goat, and that is %%.
This is a frog, and that is %%.
This is not a toaster, it is %%.
This is an alligator, and that is %%.
This is a shirt, and that is %%.
This is not a truck, it is %%.
This is not a cypress, it is %%.
This is not a castle, it is %%.
This is not a hawk, it is %%.
This is not corn, it is %%.
This is a freezer, and that is %%.
This is an oven, and that is %%.
This is not a sparrow, it is %%.
This is not a trumpet, it is %%.
This is not a yacht, it is %%.
This is not a dress, it is %%.
This is a cranberry, and that is %%.
This is not a bottle, it is %%.
This is not a dagger, it is %%.
This is not a giraffe, it is %%.
This is a falcon, and that is %%.
This is not a radio, it is %%.
This is a beaver, and that is %%.
This is not a potato, it is %%.
This is a goldfish, and that is %%.
This is not a bus, it is %%.
This is a television, and that is %%.
This is not a trout, it is %%.
This is not a bag, it is %%.
This is a poplar, and that is %%.
This is garlic, and that is %%.
This is not a mug, it is %%.
This is not a chair, it is %%.
This is a lemon, and that is %%.
This is a swan, and that is %%.
This is not a crow, it is %%.
This is not broccoli, it is %%.
This is not a deer, it is %%.
This is not a wasp, it is %%.
