This is a cat, and that is %%.
This is not a hornet, it is %%.
This is not a coat, it is %%.
This is not a dress, it is %%.
This is not a deer, it is %%.
This is a castle, and that is %%.
This is a cranberry, and that is %%.
This is a lemon, and that is %%.
This is not a sieve, it is %%.
This is not a truck, it is %%.
This is a sparrow, and that is %%.
This is a scooter, and that is %%.
This is not a trout, it is %%.
This is a trumpet, and that is %%.
This is not a hawk, it is %%.
This is not a shirt, it is %%.
This is a flute, and that is %%.
This is a goldfish, and that is %%.
This is a lizard, and that is %%.
This is a library, and that is %%.
This is not corn, it is %%.
This is a freezer, and that is %%.
This is not a mug, it is %%.
This is not a bottle, it is %%.
This is not a frog, it is %%.
This is a television, and that is %%.
This is broccoli, and that is %%.
This is not garlic, it is %%.
This is a radio, and that is %%.
This is not a crow, it is %%.
This is a wasp, and that is %%.
This is not an oven, it is %%.
This is not a cypress, it is %%.
This is a giraffe, and that is %%.
This is not a dagger, it is %%.
This is not a beaver, it is %%.
This is not an alligator, it is %%.
This is a goat, and that is %%.
This is a poplar, and that is %%.
This is a falcon, and that is %%.
This is a chair, and that is %%.
This is a swan, and that is %%.
This is a goose, and that is %%.
This is a jacket, and that is %%.
This is a ferry, and that is %%.
This is a bus, and that is %%.
This is not a yacht, it is %%.
This is a bag, and that is %%.
This is not a potato, it is %%.
This is not a toaster, it is %%.
