This is not a chair, it is %%.
This is a coat, and that is %%.
This is a trumpet, and that is %%.
This is a bottle, and that is %%.
This is a castle, and that is %%.
This is not a dagger, it is %%.
This is not a goldfish, it is %%.
This is a sparrow, and that is %%.
This is a freezer, and that is %%.
This is a cat, and that is %%.
This is not a wasp, it is %%.
This is a yacht, and that is %%.
This is corn, and that is %%.
This is not a hawk, it is %%.
This is a deer, and that is %%.
This is a frog, and that is %%.
This is a beaver, and that is %%.
This is an oven, and that is %%.
This is a goose, and that is %%.
This is not a lizard, it is %%.
This is not a jacket, it is %%.
This is a swan, and that is %%.
This is a dress, and that is %%.
This is a radio, and that is %%.
This is a bus, and that is %%.
This is a goat, and that is %%.
This is not a trout, it is %%.
This is garlic, and that is %%.
This is not a television, it is %%.
This is a hornet, and that is %%.
This is not a ferry, it is %%.
This is not an alligator, it is %%.
This is a poplar, and that is %%.
This is a bag, and that is %%.
This is not a cypress, it is %%.
This is a cranberry, and that is %%.
This is not a falcon, it is %%.
This is not a lemon, it is %%.
This is not a flute, it is %%.
This is not a scooter, it is %%.
This is a giraffe, and that is %%.
This is a library, and that is %%.
This is a toaster, and that is %%.
This is a truck, and that is %%.
This is a shirt, and that is %%.
This is not a potato, it is %%.
This is broccoli, and that is %%.
This is not a sieve, it is %%.
This is a crow, and that is %%.
This is not a mug, it is %%.
