This is a jacket, and that is %%.
This is a trout, and that is %%.
This is a deer, and that is %%.
This is a swan, and that is %%.
This is a dress, and that is %%.
This is not a goat, it is %%.
This is not a giraffe, it is %%.
This is a cranberry, and that is %%.
This is not a wasp, it is %%.
This is not a potato, it is %%.
This is not an oven, it is %%.
This is not a radio, it is %%.
This is not a hawk, it is %%.
This is a scooter, and that is %%.
This is a trumpet, and that is %%.
This is a toaster, and that is %%.
This is a cypress, and that is %%.
This is a cat, and that is %%.
This is not a falcon, it is %%.
This is a goose, and that is %%.
This is not a shirt, it is %%.
This is not a bus, it is %%.
This is not a sparrow, it is %%.
This is a lemon, and that is %%.
This is a freezer, and that is %%.
This is a television, and that is %%.
This is a bag, and that is %%.
This is a lizard, and that is %%.
This is not a coat, it is %%.
This is not a truck, it is %%.
This is a flute, and that is %%.
This is a chair, and that is %%.
This is not a bottle, it is %%.
This is not a sieve, it is %%.
This is not a poplar, it is %%.
This is not broccoli, it is %%.
This is an alligator, and that is %%.
This is not a yacht, it is %%.
This is not a ferry, it is %%.
This is not a crow, it is %%.
This is a dagger, and that is %%.
This is not garlic, it is %%.
This is a mug, and that is %%.
This is a frog, and that is %%.
This is not a castle, it is %%.
This is a beaver, and that is %%.
This is a hornet, and that is %%.
This is not corn, it is %%.
This is a goldfish, and that is %%.
This is not a library, it is %%.
