Subject,Answer,Sentence,Age,Gender,Language,Item,Noun,Polarity
s1ftc2t1zqy0rxt,coat,"This is not a jacket, it is %%.",31,male,english,13,jacket,0
s1ftc2t1zqy0rxt,normal,"This is a poplar, and that is %%.",31,male,english,49,poplar,1
s1ftc2t1zqy0rxt,dog,"This is not a cat, it is %%.",31,male,english,18,cat,0
s1ftc2t1zqy0rxt,swan,"This is not a goose, it is %%.",31,male,english,5,goose,0
s1ftc2t1zqy0rxt,orange,"This is not a lemon, it is %%.",31,male,english,40,lemon,0
s1ftc2t1zqy0rxt,van,"This is not a truck, it is %%.",31,male,english,11,truck,0
s1ftc2t1zqy0rxt,table,"This is a chair, and that is %%.",31,male,english,3,chair,1
s1ftc2t1zqy0rxt,ant,"This is not a wasp, it is %%.",31,male,english,23,wasp,0
s1ftc2t1zqy0rxt,instrument,"This is not a trumpet, it is %%.",31,male,english,26,trumpet,0
s1ftc2t1zqy0rxt,book,"This is a bag, and that is %%.",31,male,english,16,bag,1
s1ftc2t1zqy0rxt,bread,"This is a toaster, and that is %%.",31,male,english,6,toaster,1
s1ftc2t1zqy0rxt,insect,"This is not a hornet, it is %%.",31,male,english,36,hornet,0
s1ftc2t1zqy0rxt,goose,"This is not a swan, it is %%.",31,male,english,17,swan,0
s1ftc2t1zqy0rxt,reptiles,"This is an alligator, and that is %%.",31,male,english,2,alligator,1
s1ftc2t1zqy0rxt,ship,"This is not a ferry, it is %%.",31,male,english,19,ferry,0
s1ftc2t1zqy0rxt,bird,"This is a falcon, and that is %%.",31,male,english,8,falcon,1
s1ftc2t1zqy0rxt,ship,"This is a yacht, and that is %%.",31,male,english,4,yacht,1
s1ftc2t1zqy0rxt,dinosaur,"This is a giraffe, and that is %%.",31,male,english,35,giraffe,1
s1ftc2t1zqy0rxt,ice,"This is not a freezer, it is %%.",31,male,english,22,freezer,0
s1ftc2t1zqy0rxt,ginger,"This is not garlic, it is %%.",31,male,english,14,garlic,0
s1ftc2t1zqy0rxt,bird,"This is not a crow, it is %%.",31,male,english,34,crow,0
s1ftc2t1zqy0rxt,fish,"This is not a trout, it is %%.",31,male,english,42,trout,0
s1ftc2t1zqy0rxt,car,"This is a scooter, and that is %%.",31,male,english,33,scooter,1
s1ftc2t1zqy0rxt,reptile,"This is not a lizard, it is %%.",31,male,english,25,lizard,0
s1ftc2t1zqy0rxt,fruit,"This is a cranberry, and that is %%.",31,male,english,29,cranberry,1
s1ftc2t1zqy0rxt,cauliflower,"This is broccoli, and that is %%.",31,male,english,15,broccoli,1
s1ftc2t1zqy0rxt,pan,"This is not an oven, it is %%.",31,male,english,31,oven,0
s1ftc2t1zqy0rxt,knife,"This is a dagger, and that is %%.",31,male,english,21,dagger,1
s1ftc2t1zqy0rxt,train,"This is a bus, and that is %%.",31,male,english,9,bus,1
s1ftc2t1zqy0rxt,bird,"This is not a sparrow, it is %%.",31,male,english,41,sparrow,0
s1ftc2t1zqy0rxt,radio,"This is not a television, it is %%.",31,male,english,44,television,0
s1ftc2t1zqy0rxt,box,"This is a bottle, and that is %%.",31,male,english,39,bottle,1
s1ftc2t1zqy0rxt,bull,"This is not a goat, it is %%.",31,male,english,1,goat,0
s1ftc2t1zqy0rxt,shirt,"This is a coat, and that is %%.",31,male,english,27,coat,1
s1ftc2t1zqy0rxt,tomato,"This is not a potato, it is %%.",31,male,english,37,potato,0
s1ftc2t1zqy0rxt,piano,"This is a flute, and that is %%.",31,male,english,28,flute,1
s1ftc2t1zqy0rxt,rodent,"This is not a beaver, it is %%.",31,male,english,38,beaver,0
s1ftc2t1zqy0rxt,television,"This is not a radio, it is %%.",31,male,english,46,radio,0
s1ftc2t1zqy0rxt,filter,"This is not a sieve, it is %%.",31,male,english,50,sieve,0
s1ftc2t1zqy0rxt,bird,"This is not a hawk, it is %%.",31,male,english,32,hawk,0
s1ftc2t1zqy0rxt,maize,"This is corn, and that is %%.",31,male,english,7,corn,1
s1ftc2t1zqy0rxt,dear,"This is a deer, and that is %%.",31,male,english,12,deer,1
s1ftc2t1zqy0rxt,tub,"This is a mug, and that is %%.",31,male,english,43,mug,1
s1ftc2t1zqy0rxt,coat,"This is not a shirt, it is %%.",31,male,english,10,shirt,0
s1ftc2t1zqy0rxt,book,"This is a library, and that is %%.",31,male,english,48,library,1
s1ftc2t1zqy0rxt,bag,"This is a dress, and that is %%.",31,male,english,20,dress,1
s1ftc2t1zqy0rxt,snake,"This is a frog, and that is %%.",31,male,english,45,frog,1
jc5btpsot87ekae,jug,"This is not a bottle, it is %%.",41,male,english,39,bottle,0
jc5btpsot87ekae,duck,"This is a goose, and that is %%.",41,male,english,5,goose,1
jc5btpsot87ekae,vegetable,"This is not broccoli, it is %%.",41,male,english,15,broccoli,0
jc5btpsot87ekae,funnel,"This is not a sieve, it is %%.",41,male,english,50,sieve,0
jc5btpsot87ekae,bus,"This is not a truck, it is %%.",41,male,english,11,truck,0
jc5btpsot87ekae,rat,"This is a beaver, and that is %%.",41,male,english,38,beaver,1
jc5btpsot87ekae,vest,"This is not a coat, it is %%.",41,male,english,27,coat,0
jc5btpsot87ekae,microwave,"This is a toaster, and that is %%.",41,male,english,6,toaster,1
jc5btpsot87ekae,orange,"This is a lemon, and that is %%.",41,male,english,40,lemon,1
jc5btpsot87ekae,onion,"This is not garlic, it is %%.",41,male,english,14,garlic,0
jc5btpsot87ekae,fridge,"This is not a freezer, it is %%.",41,male,english,22,freezer,0
jc5btpsot87ekae,school,"This is not a cypress, it is %%.",41,male,english,24,cypress,0
jc5btpsot87ekae,bungalow,"This is a castle, and that is %%.",41,male,english,47,castle,1
jc5btpsot87ekae,duck,"This is a swan, and that is %%.",41,male,english,17,swan,1
jc5btpsot87ekae,car,"This is a bus, and that is %%.",41,male,english,9,bus,1
jc5btpsot87ekae,suit,"This is not a dress, it is %%.",41,male,english,20,dress,0
jc5btpsot87ekae,fish,"This is not a frog, it is %%.",41,male,english,45,frog,0
jc5btpsot87ekae,dove,"This is not a hawk, it is %%.",41,male,english,32,hawk,0
jc5btpsot87ekae,bee,"This is a hornet, and that is %%.",41,male,english,36,hornet,1
jc5btpsot87ekae,jug,"This is not a mug, it is %%.",41,male,english,43,mug,0
jc5btpsot87ekae,suit,"This is a jacket, and that is %%.",41,male,english,13,jacket,1
