This is not a dagger, it is %%.
This is a swan, and that is %%.
This is not a wasp, it is %%.
This is not a coat, it is %%.
This is a falcon, and that is %%.
This is a bus, and that is %%.
This is a mug, and that is %%.
This is broccoli, and that is %%.
This is not a dress, it is %%.
This is a scooter, and that is %%.
This is a cypress, and that is %%.
This is a jacket, and that is %%.
This is a sieve, and that is %%.
This is not a freezer, it is %%.
This is not a goldfish, it is %%.
This is not a television, it is %%.
This is not a hornet, it is %%.
This is a beaver, and that is %%.
This is a trumpet, and that is %%.
This is a library, and that is %%.
This is a lemon, and that is %%.
This is not a ferry, it is %%.
This is not a shirt, it is %%.
This is a deer, and that is %%.
This is not a radio, it is %%.
This is garlic, and that is %%.
This is a toaster, and that is %%.
This is a bottle, and that is %%.
This is not a lizard, it is %%.
This is an oven, and that is %%.
This is a sparrow, and that is %%.
This is not an alligator, it is %%.
This is a cranberry, and that is %%.
This is not a cat, it is %%.
This is not a castle, it is %%.
This is not a hawk, it is %%.
This is a potato, and that is %%.
This is a flute, and that is %%.
This is not a crow, it is %%.
This is not corn, it is %%.
This is a chair, and that is %%.
This is not a trout, it is %%.
This is a yacht, and that is %%.
This is a goose, and that is %%.
This is a bag, and that is %%.
This is a goat, and that is %%.
This is not a poplar, it is %%.
This is a giraffe, and that is %%.
This is not a truck, it is %%.
This is a frog, and that is %%.
