Subject,Polarity,Item,Answer
3,affirmative,hornet,flower
3,affirmative,swan,horse
3,negative,dagger,han
3,affirmative,wasp,fl
3,negative,lemon,orange
3,negative,deer,bear
3,affirmative,scooter,movement
3,affirmative,frog,ash
3,negative,sieve,good
3,affirmative,bag,money
3,negative,hawk,net
16,negative,toaster,cigar
16,affirmative,crow,duck
16,affirmative,sparrow,go
16,negative,ferry,water
16,negative,hawk,dead
16,affirmative,potato,farmer
16,affirmative,beaver,platypus
16,negative,hornet,hand
16,negative,oven,chimney
16,affirmative,lemon,know
16,affirmative,goldfish,mermaid
2,negative,potato,ca
2,affirmative,sieve,hole
2,affirmative,sparrow,butterfly
2,affirmative,cypress,sea
2,affirmative,lemon,lemonade
2,affirmative,scooter,bird
2,affirmative,dress,belt
2,negative,beaver,flash
2,affirmative,shirt,jeans
2,affirmative,swan,lake
2,negative,hornet,wasp
2,negative,cat,giraffe
2,affirmative,giraffe,pineapple
2,negative,broccoli,hair
20,affirmative,lizard,insects
20,affirmative,garlic,onion
20,negative,poplar,fe
20,negative,shirt,storage
20,negative,beaver,bear
20,affirmative,hornet,bee
20,affirmative,deer,boar
20,negative,radio,animal
20,negative,hawk,bat
20,negative,giraffe,bird
20,negative,scooter,helicopter
14,affirmative,jacket,coat
14,affirmative,garlic,pepper
14,affirmative,sieve,witness
14,affirmative,trout,sea
14,affirmative,dress,skirt
14,affirmative,corn,soybeans
14,affirmative,flute,gun
14,affirmative,castle,prince
14,affirmative,broccoli,people
14,negative,wasp,sight
14,negative,coat,blazer
14,affirmative,swan,sun
15,affirmative,chair,opportunity
15,negative,dress,arrow
15,negative,garlic,mirrors
15,negative,ferry,myrrh
15,negative,wasp,nest
15,affirmative,coat,hat
15,affirmative,scooter,bel
15,affirmative,cranberry,sauce
15,affirmative,dagger,skull
15,affirmative,alligator,keys
15,negative,trumpet,lynx
15,negative,bottle,money
19,negative,giraffe,fl
19,affirmative,corn,tassel
19,negative,jacket,color
19,affirmative,truck,guy
19,negative,toaster,plates
19,negative,wasp,bats
19,affirmative,bag,contestant
19,negative,deer,promise
19,affirmative,cypress,red
19,affirmative,swan,leaf
19,negative,garlic,clothes
19,negative,goldfish,sharks
19,affirmative,frog,butterfly
18,negative,dagger,two
18,affirmative,beaver,virtu
18,affirmative,crow,peacock
18,affirmative,trout,particular
18,negative,hawk,world
18,affirmative,cat,snake
18,affirmative,poplar,glades
18,affirmative,broccoli,celery
18,negative,toaster,table
18,affirmative,lizard,pangolin
18,affirmative,lemon,arrow
18,negative,giraffe,rooster
18,negative,deer,matt
18,negative,corn,wa
13,affirmative,sparrow,future
13,affirmative,corn,opportunity
13,affirmative,dress,back
13,negative,lemon,pine
13,affirmative,truck,boat
13,affirmative,goldfish,shark
13,affirmative,deer,elk
13,affirmative,crow,boy
13,affirmative,coat,ha
13,negative,poplar,stream
13,affirmative,lizard,spider
13,affirmative,hawk,fir
13,affirmative,falcon,haw
13,negative,scooter,man
13,negative,chair,chest
11,affirmative,lizard,alligator
11,affirmative,dagger,blood
11,affirmative,library,community
11,affirmative,broccoli,challenge
11,negative,mug,focus
11,negative,bottle,palms
11,negative,poplar,post
11,affirmative,falcon,dove
11,negative,toaster,shirt
7,affirmative,trout,dead
7,negative,hawk,part
8,affirmative,potato,war
8,affirmative,goose,chicken
8,negative,oven,trivet
8,negative,frog,panda
8,affirmative,sparrow,much
8,negative,truck,car
8,affirmative,flute,dragon
8,negative,trumpet,sin
8,affirmative,bag,clutch
8,affirmative,mug,cap
8,negative,goldfish,thrushes
8,negative,freezer,wagon
8,affirmative,broccoli,face
8,affirmative,poplar,soldier
5,affirmative,garlic,salt
5,affirmative,frog,snake
5,affirmative,sieve,mediocrity
5,affirmative,goldfish,water
5,negative,giraffe,camel
5,negative,mug,mu
5,negative,crow,raven
5,negative,library,dormitory
5,negative,truck,evidence
5,affirmative,deer,moo
5,affirmative,corn,rice
5,negative,wasp,message
5,negative,toaster,8
5,affirmative,coat,jeans
5,affirmative,bag,necklace
12,affirmative,cranberry,pineapple
12,negative,toaster,cu
12,affirmative,cypress,much
12,affirmative,chair,clock
12,negative,dagger,cool
12,affirmative,yacht,motorboats
12,negative,library,shadow
12,affirmative,cat,seagull
12,affirmative,sparrow,hope
12,affirmative,swan,vase
12,affirmative,coat,woman
12,affirmative,bottle,label
9,affirmative,bottle,ca
9,affirmative,oven,chef
9,negative,flute,clarinet
9,affirmative,giraffe,dreams
9,affirmative,alligator,crocodile
9,negative,truck,see
9,negative,radio,mess
9,affirmative,poplar,pin
9,affirmative,sparrow,wing
9,negative,corn,wheat
