This is not a hawk, it is %%.
This is not a crow, it is %%.
This is a scooter, and that is %%.
This is a ferry, and that is %%.
This is a trout, and that is %%.
This is not a cat, it is %%.
This is not broccoli, it is %%.
This is garlic, and that is %%.
This is not a lizard, it is %%.
This is not a sparrow, it is %%.
This is not a bag, it is %%.
This is an alligator, and that is %%.
This is not a frog, it is %%.
This is a bus, and that is %%.
This is a hornet, and that is %%.
This is not a toaster, it is %%.
This is not a flute, it is %%.
This is a cranberry, and that is %%.
This is not a cypress, it is %%.
This is not a yacht, it is %%.
This is a dagger, and that is %%.
This is not a poplar, it is %%.
This is a wasp, and that is %%.
This is not a library, it is %%.
This is a television, and that is %%.
This is not a coat, it is %%.
This is not a freezer, it is %%.
This is not a goose, it is %%.
This is a bottle, and that is %%.
This is a goldfish, and that is %%.
This is not a deer, it is %%.
This is not a lemon, it is %%.
This is a sieve, and that is %%.
This is a trumpet, and that is %%.
This is not a giraffe, it is %%.
This is not an oven, it is %%.
This is a jacket, and that is %%.
This is a truck, and that is %%.
This is not a chair, it is %%.
This is a mug, and that is %%.
This is not a shirt, it is %%.
This is not a radio, it is %%.
This is a falcon, and that is %%.
This is not a dress, it is %%.
This is corn, and that is %%.
This is not a goat, it is %%.
This is not a potato, it is %%.
This is not a castle, it is %%.
This is not a beaver, it is %%.
This is not a swan, it is %%.
