This is not a cranberry, it is %%.
This is not a crow, it is %%.
This is an alligator, and that is %%.
This is not a bag, it is %%.
This is not a hawk, it is %%.
This is a library, and that is %%.
This is a lemon, and that is %%.
This is a sieve, and that is %%.
This is not a falcon, it is %%.
This is not a goldfish, it is %%.
This is not garlic, it is %%.
This is a scooter, and that is %%.
This is a deer, and that is %%.
This is a castle, and that is %%.
This is a wasp, and that is %%.
This is not a yacht, it is %%.
This is a giraffe, and that is %%.
This is a shirt, and that is %%.
This is a cat, and that is %%.
This is not a bottle, it is %%.
This is not a frog, it is %%.
This is a chair, and that is %%.
This is a cypress, and that is %%.
This is not a coat, it is %%.
This is not a potato, it is %%.
This is an oven, and that is %%.
This is a poplar, and that is %%.
This is a beaver, and that is %%.
This is a bus, and that is %%.
This is a trout, and that is %%.
This is broccoli, and that is %%.
This is a goose, and that is %%.
This is a lizard, and that is %%.
This is a jacket, and that is %%.
This is not a goat, it is %%.
This is a flute, and that is %%.
This is not a trumpet, it is %%.
This is not a hornet, it is %%.
This is not a freezer, it is %%.
This is a sparrow, and that is %%.
This is not a television, it is %%.
This is not a swan, it is %%.
This is not a mug, it is %%.
This is not a radio, it is %%.
This is not a dress, it is %%.
This is a truck, and that is %%.
This is not a ferry, it is %%.
This is not a toaster, it is %%.
This is a dagger, and that is %%.
This is corn, and that is %%.
