This is a falcon, and that is %%.
This is a yacht, and that is %%.
This is a poplar, and that is %%.
This is a beaver, and that is %%.
This is a freezer, and that is %%.
This is not a castle, it is %%.
This is a wasp, and that is %%.
This is not a flute, it is %%.
This is a cranberry, and that is %%.
This is a shirt, and that is %%.
This is a goldfish, and that is %%.
This is garlic, and that is %%.
This is not a library, it is %%.
This is not a chair, it is %%.
This is a sparrow, and that is %%.
This is a sieve, and that is %%.
This is a mug, and that is %%.
This is a truck, and that is %%.
This is a ferry, and that is %%.
This is a trout, and that is %%.
This is a goat, and that is %%.
This is not a cypress, it is %%.
This is a jacket, and that is %%.
This is a dagger, and that is %%.
This is not a bus, it is %%.
This is not corn, it is %%.
This is not a hornet, it is %%.
This is not a coat, it is %%.
This is a deer, and that is %%.
This is not a frog, it is %%.
This is a bag, and that is %%.
This is a television, and that is %%.
This is not a bottle, it is %%.
This is not a dress, it is %%.
This is an oven, and that is %%.
This is a swan, and that is %%.
This is not an alligator, it is %%.
This is a hawk, and that is %%.
This is not a scooter, it is %%.
This is not a potato, it is %%.
This is a goose, and that is %%.
This is not a lemon, it is %%.
This is not broccoli, it is %%.
This is a trumpet, and that is %%.
This is a lizard, and that is %%.
This is a crow, and that is %%.
This is not a cat, it is %%.
This is not a toaster, it is %%.
This is a radio, and that is %%.
This is a giraffe, and that is %%.
