This is not corn, it is maize.
This is not a lizard, it is a chameleon.
This is not a scooter, it is a motorcycle.
This is not a castle, it is a mansion.
This is not a swan, it is a goose.
This is not a television, it is a computer monitor.
This is not a cranberry, it is a cherry.
This is not a bus, it is a train.
This is not a trumpet, it is a trombone.
This is a potato, and that is a tomato.
This is a wasp, and that is a bee.
This is a deer, and that is a doe.
This is not a goose, it is a swan.
This is not a cat, it is a dog.
This is a hawk, and that is a dove.
This is not a bag, it is a suitcase.
This is a truck, and that is a car.
This is a hornet, and that is a bumblebee.
This is a lemon, and that is an orange.
This is not a sieve, it is a colander.
This is not a jacket, it is a coat.
This is a goat, and that is a sheep.
This is not a trout, it is a salmon.
This is not a goldfish, it is a koi fish.
This is not a poplar, it is an oak tree.
This is not a frog, it is a toad.
This is a library, and that is a bookstore.
This is a giraffe, and that is an elephant.
This is a dress, and that is a shirt.
This is not an alligator, it is a crocodile.
This is a dagger, and that is a sword.
This is garlic, and that is onion.
This is not an oven, it is a microwave.
This is a chair, and that is a table.
This is a sparrow, and that is a dove.
This is not a flute, it is a clarinet.
This is not a shirt, it is a jacket.
This is a beaver, and that is a moose.
This is not a mug, it is a cup.
This is a coat, and that is a hat.
This is not a ferry, it is a cruise ship.
This is not a bottle, it is a jar.
This is broccoli, and that is cauliflower.
This is not a cypress, it is a pine tree.
This is a radio, and that is a television.
This is a yacht, and that is a sailboat.
This is a falcon, and that is an eagle.
This is a freezer, and that is a refrigerator.
This is not a toaster, it is a coffee maker.
This is not a crow, it is a raven.
