Subject,Polarity,Item,Answer
3,affirmative,hawk,car
3,negative,shirt,pants
3,negative,toaster,toast
3,negative,television,entertainment
3,negative,ferry,boat
3,negative,falcon,hawk
3,negative,flute,guitar
3,affirmative,corn,eggs
3,affirmative,yacht,luxury
3,affirmative,wasp,nest
3,negative,cat,dog
3,affirmative,sieve,spoon
3,negative,freezer,refrigerator
16,negative,cranberry,answer
16,negative,television,entertainment
16,negative,ferry,boat
16,affirmative,broccoli,salad
16,negative,freezer,refrigerator
16,negative,hornet,honey
16,negative,castle,kingdom
16,negative,bottle,glass
16,affirmative,garlic,bread
16,negative,bag,backpack
16,affirmative,wasp,nest
16,negative,trumpet,drums
16,negative,lizard,snake
16,negative,bus,travel
16,negative,shirt,t-shirt
2,negative,library,books
2,negative,giraffe,giraffes
2,affirmative,dagger,dragon
2,negative,lizard,snake
2,affirmative,lemon,squeeze
2,negative,sparrow,swan
2,negative,scooter,skateboard
2,negative,radio,noise
2,negative,oven,microwave
2,negative,ferry,car
2,negative,freezer,refrigerator
2,affirmative,hornet,nest
2,affirmative,hawk,nest
2,negative,broccoli,salad
20,negative,potato,fries
20,negative,oven,stove
20,negative,freezer,refrigerator
20,negative,lizard,snake
20,negative,goose,geese
20,affirmative,crow,nest
20,negative,ferry,traffic
20,negative,falcon,hawk
20,affirmative,garlic,bread
20,negative,jacket,coat
20,negative,shirt,shoes
20,negative,coat,warmth
20,affirmative,dagger,black
20,affirmative,bottle,cork
20,affirmative,wasp,sandwich
14,negative,broccoli,cheese
14,affirmative,beaver,quiet
14,affirmative,lemon,squeeze
14,affirmative,bottle,beach
14,affirmative,crow,nest
14,negative,hornet,honey
14,negative,sparrow,fly
14,negative,potato,salad
14,negative,bag,trash
14,affirmative,wasp,honey
14,negative,shirt,shoes
14,negative,radio,traffic
14,affirmative,falcon,nest
14,negative,television,noise
14,affirmative,poplar,tall
14,negative,trout,fish
15,negative,goose,bread
15,negative,library,noise
15,negative,bottle,glass
15,affirmative,potato,bunny
15,affirmative,poplar,tall
15,negative,oven,microwave
15,affirmative,flute,play
15,negative,garlic,cheese
15,negative,toaster,toast
15,negative,mug,coffee
15,negative,jacket,sweater
15,affirmative,wasp,honey
15,negative,trumpet,piano
19,negative,ferry,boats
19,negative,swan,bird
19,negative,cranberry,nonsense
19,negative,bottle,butter
19,negative,television,quiet
19,affirmative,flute,concert
19,affirmative,alligator,adventure
19,negative,freezer,refrigerator
19,negative,scooter,skateboard
19,affirmative,hawk,tree
19,affirmative,lemon,squeeze
19,negative,trout,worms
19,negative,oven,microwave
19,negative,dagger,peace
19,negative,falcon,fly
19,negative,bus,traffic
19,negative,sieve,strawberries
19,negative,broccoli,carrots
19,affirmative,hornet,nest
19,negative,corn,cotton
19,affirmative,wasp,nest
19,negative,sparrow,nest
18,negative,television,noise
18,negative,trumpet,flute
18,negative,chair,table
18,negative,coat,warmth
18,negative,dress,suit
18,negative,castle,dragon
18,negative,mug,hands
18,negative,broccoli,cauliflower
18,negative,cranberry,sauce
18,negative,sparrow,bird
18,negative,wasp,honey
18,negative,oven,microwave
18,affirmative,hornet,nest
18,affirmative,garlic,bread
18,negative,bag,trash
18,negative,potato,noodles
18,negative,lizard,travel
18,negative,deer,fawns
13,negative,crow,peace
13,negative,television,peace
13,affirmative,lemon,squeeze
13,negative,hornet,honey
13,affirmative,broccoli,steak
13,negative,sieve,strawberries
13,negative,trout,worms
13,affirmative,sparrow,nest
13,negative,lizard,snake
13,affirmative,garlic,bread
13,negative,mug,coffee
13,affirmative,wasp,honey
13,negative,poplar,trees
13,affirmative,library,quiet
13,negative,toaster,butter
13,affirmative,flute,concert
11,negative,mug,coffee
11,negative,freezer,fridge
11,negative,cat,dog
11,affirmative,wasp,nest
11,affirmative,bottle,cork
11,negative,flute,guitar
11,negative,oven,microwave
11,negative,sieve,spoon
11,affirmative,corn,eggs
11,negative,goose,bread
7,negative,potato,apple
7,negative,poplar,trees
7,negative,coat,hat
7,negative,television,noise
7,negative,bottle,glass
7,negative,falcon,parrot
7,affirmative,garlic,bread
7,negative,bus,traffic
7,negative,hawk,doves
7,negative,radio,noise
7,negative,jacket,sweater
7,affirmative,hornet,nest
7,negative,shirt,shoeshine
7,affirmative,wasp,nest
7,negative,library,book
7,negative,castle,dragon
8,affirmative,trout,small
8,negative,dress,fuss
8,negative,alligator,alligators
8,affirmative,wasp,nest
8,negative,oven,microwave
8,affirmative,sieve,spoon
8,affirmative,potato,burger
8,negative,radio,noise
8,negative,cat,dog
8,affirmative,sparrow,nest
8,negative,garlic,onions
8,negative,dagger,peace
8,negative,scooter,bike
8,negative,bottle,cappuccino
8,negative,coat,warmth
5,negative,freezer,refrigerator
5,negative,trout,fish
5,negative,falcon,hawk
5,affirmative,lemon,tart
5,affirmative,bottle,glass
5,negative,poplar,trees
5,negative,dagger,peace
5,negative,goat,cheese
5,negative,jacket,pizza
5,affirmative,wasp,nest
5,affirmative,garlic,bread
5,affirmative,hawk,nest
5,negative,cranberry,apple
12,negative,poplar,aspens
12,negative,flute,guitar
12,negative,television,book
12,negative,jacket,coat
12,negative,potato,onion
12,negative,wasp,honey
12,affirmative,crow,tree
12,negative,dagger,knight
12,negative,bottle,water
12,negative,hornet,honey
12,negative,shirt,shoes
12,negative,oven,microwave
12,affirmative,sieve,cake
12,affirmative,garlic,bread
12,negative,giraffe,bananas
12,negative,cat,dog
9,affirmative,poplar,tall
9,negative,corn,nachos
9,negative,hornet,honey
9,negative,dress,shoes
9,negative,coat,warmth
9,negative,trout,fish
9,affirmative,bottle,drink
9,affirmative,cranberry,apple
9,negative,yacht,speedboat
9,negative,cat,kitten
9,negative,hawk,beak
9,negative,goose,duck
9,negative,shirt,shoes
9,affirmative,crow,nest
9,negative,bus,car
9,negative,scooter,skateboard
9,affirmative,freezer,refrigerator
9,negative,frog,frogs
10,affirmative,hornet,honey
10,negative,television,noise
10,affirmative,cranberry,sandwich
10,negative,ferry,boat
10,affirmative,wasp,nest
10,negative,goose,grapes
10,affirmative,corn,eggs
10,negative,bottle,straw
10,negative,dress,shoes
10,negative,shirt,tie
10,affirmative,frog,pond
10,negative,garlic,onions
10,affirmative,freezer,refrigerator
10,negative,dagger,mercy
10,affirmative,falcon,fast
4,negative,radio,noise
4,affirmative,hawk,beach
4,negative,frog,swamp
4,affirmative,garlic,bread
4,negative,television,movie
4,negative,dress,suit
4,negative,flute,guitar
4,negative,scooter,motorcycle
4,negative,dagger,peace
4,negative,castle,kingdom
4,negative,hornet,honey
4,negative,cypress,trees
4,negative,ferry,boat
1,affirmative,flute,play
1,negative,lizard,snake
1,negative,freezer,refrigerator
1,negative,frog,pond
1,negative,bottle,milk
1,negative,cat,dog
1,affirmative,lemon,squeeze
1,negative,scooter,skateboard
1,negative,corn,sugar
1,negative,toaster,toast
1,affirmative,broccoli,chicken
1,negative,library,book
1,affirmative,swan,white
1,negative,ferry,boat
1,affirmative,sparrow,small
1,affirmative,hornet,nest
1,negative,garlic,onion
1,negative,oven,stove
1,negative,alligator,alligators
1,negative,sieve,gate
1,negative,dagger,mercy
1,negative,castle,kingdom
17,negative,goldfish,cat
17,negative,cranberry,pie
17,negative,bottle,drink
17,negative,scooter,skateboard
17,affirmative,alligator,adventure
17,negative,garlic,bread
17,affirmative,hawk,nest
17,affirmative,freezer,refrigerator
17,negative,oven,microwave
17,negative,television,distractions
17,affirmative,giraffe,tall
17,negative,sparrow,cat
17,affirmative,wasp,nest
17,affirmative,frog,pond
17,negative,corn,sugar
17,negative,sieve,strawberries
6,affirmative,oven,cake
6,negative,freezer,fridge
6,affirmative,cypress,large
6,negative,cat,dog
6,affirmative,sparrow,nest
6,affirmative,garlic,bread
6,negative,dagger,knight
6,negative,trumpet,guitar
6,affirmative,hornet,nest
6,negative,cranberry,apple
6,affirmative,wasp,nest
6,negative,sieve,spoon
6,affirmative,bottle,drink
6,negative,television,noise
