This is not a truck, it is %%.
This is a beaver, and that is %%.
This is not a deer, it is %%.
This is not a flute, it is %%.
This is not a giraffe, it is %%.
This is not a yacht, it is %%.
This is not a cat, it is %%.
This is a library, and that is %%.
This is a freezer, and that is %%.
This is not a radio, it is %%.
This is a swan, and that is %%.
This is not an oven, it is %%.
This is not a wasp, it is %%.
This is not a frog, it is %%.
This is not a goldfish, it is %%.
This is not a hawk, it is %%.
This is a cypress, and that is %%.
This is not corn, it is %%.
This is not a bottle, it is %%.
This is not a trout, it is %%.
This is a lemon, and that is %%.
This is a scooter, and that is %%.
This is not a television, it is %%.
This is a crow, and that is %%.
This is a dagger, and that is %%.
This is not a jacket, it is %%.
This is not a sieve, it is %%.
This is not a potato, it is %%.
This is not a falcon, it is %%.
This is an alligator, and that is %%.
This is not a coat, it is %%.
This is a hornet, and that is %%.
This is not a castle, it is %%.
This is a mug, and that is %%.
This is not a goose, it is %%.
This is not a bus, it is %%.
This is a trumpet, and that is %%.
This is a toaster, and that is %%.
This is broccoli, and that is %%.
This is a cranberry, and that is %%.
This is not a goat, it is %%.
This is a sparrow, and that is %%.
This is a ferry, and that is %%.
This is not a shirt, it is %%.
This is a dress, and that is %%.
This is a lizard, and that is %%.
This is a bag, and that is %%.
This is garlic, and that is %%.
This is a poplar, and that is %%.
This is not a chair, it is %%.
