Subject,Polarity,Item,Answer
3,negative,trumpet,stick
3,negative,shirt,soul
3,negative,garlic,almond
3,negative,alligator,camel
3,affirmative,giraffe,dead
3,affirmative,oven,shower
3,affirmative,corn,thyme
3,negative,goat,soul
3,negative,dagger,blade
3,negative,trout,game
3,negative,truck,loo
16,negative,cranberry,good
16,negative,television,radio
16,affirmative,broccoli,bacon
16,negative,giraffe,animal
16,negative,hornet,curb
16,negative,bottle,fee
16,negative,sieve,clean
16,affirmative,flute,fingers
16,affirmative,coat,combo
16,negative,lemon,fruit
16,affirmative,cypress,mean
16,negative,potato,drink
16,affirmative,wasp,woman
16,affirmative,corn,mayo
16,negative,lizard,meat
16,affirmative,scooter,bad
16,affirmative,dagger,shield
16,affirmative,sparrow,one
2,affirmative,goldfish,chocolate
2,affirmative,corn,flour
2,negative,giraffe,line
2,negative,crow,feet
2,negative,frog,prince
2,negative,sieve,know
2,affirmative,cat,right
2,negative,lizard,serpent
2,affirmative,lemon,camel
2,negative,flute,play
2,negative,wasp,ant
2,affirmative,falcon,pig
2,affirmative,trout,chicken
2,affirmative,chair,door
2,affirmative,cypress,cedar
20,negative,swan,fly
20,negative,potato,avocado
20,negative,goat,oats
20,negative,trumpet,ground
20,negative,goose,shoes
20,negative,deer,fish
20,negative,jacket,pads
20,negative,chair,support
20,affirmative,dagger,quick
20,negative,frog,stone
20,affirmative,sieve,barrow
20,affirmative,lemon,yogurt
20,affirmative,wasp,bee
20,affirmative,mug,bowie
14,negative,broccoli,candy
14,affirmative,beaver,goatee
14,negative,coat,tent
14,affirmative,freezer,one
14,negative,hornet,bee
14,negative,giraffe,pony
14,affirmative,deer,quantity
14,negative,goat,one
14,affirmative,lizard,dictator
14,negative,chair,chain
14,negative,potato,censer
14,affirmative,sieve,strain
14,affirmative,castle,riches
14,affirmative,wasp,peel
14,affirmative,toaster,back
14,affirmative,swan,want
14,negative,television,know
14,affirmative,cranberry,blackberry
15,affirmative,dagger,life
15,negative,trout,salmon
15,affirmative,swan,princess
15,negative,chair,budge
15,negative,beaver,king
15,negative,deer,hunt
15,affirmative,hawk,fly
15,affirmative,coat,record
15,affirmative,wasp,bread
15,affirmative,truck,black
15,affirmative,cypress,france
15,negative,hornet,popcorn
15,affirmative,cranberry,mango
19,affirmative,cypress,quick
19,negative,lizard,youth
19,negative,deer,attack
19,affirmative,lemon,large
19,negative,goat,horns
19,negative,radio,tune
19,negative,broccoli,build
18,affirmative,radio,microphone
18,negative,chair,egg
18,negative,coat,cape
18,affirmative,goose,get
18,negative,lemon,twist
18,negative,cranberry,turkey
18,affirmative,garlic,tabasco
18,negative,swan,tea
18,negative,lizard,turtle
18,affirmative,frog,monkey
13,negative,hornet,hornets
13,affirmative,swan,frog
13,affirmative,trumpet,clarinet
13,negative,truck,franchise
13,negative,dagger,orchestra
13,affirmative,corn,toast
13,affirmative,coat,hoops
13,affirmative,giraffe,frog
13,affirmative,library,chicken
13,affirmative,cat,hamster
13,affirmative,goose,day
11,negative,cypress,want
11,affirmative,frog,owl
11,negative,mug,charmer
11,negative,bag,dots
11,affirmative,coat,dress
11,negative,bus,subsidies
11,affirmative,alligator,hype
11,affirmative,jacket,sandwich
11,negative,flute,rave
11,negative,sieve,porridge
11,negative,goose,copy
7,negative,potato,attendance
7,affirmative,cat,cheese
7,negative,sieve,flag
7,negative,hawk,dove
7,negative,alligator,lion
7,negative,broccoli,pizza
7,affirmative,crow,dea
7,affirmative,yacht,meet
8,negative,dress,law
8,negative,frog,opener
8,affirmative,lizard,margarita
5,affirmative,lemon,squeeze
5,affirmative,beaver,pond
5,negative,goldfish,want
5,negative,cypress,gold
5,affirmative,swan,spear
5,negative,shirt,bag
5,negative,frog,fire
5,negative,chair,hurt
5,affirmative,coat,cold
5,negative,flute,music
5,negative,deer,elk
5,negative,sparrow,lam
5,negative,alligator,aardvark
5,affirmative,garlic,sausage
5,affirmative,cat,curl
5,negative,lizard,sleeve
12,affirmative,castle,stuff
12,negative,broccoli,coding
12,affirmative,truck,kitchen
12,negative,toaster,legs
12,negative,goldfish,friends
12,affirmative,deer,close
12,affirmative,beaver,stuff
12,affirmative,alligator,cockatoo
12,negative,hornet,mercy
12,affirmative,cypress,maple
12,negative,giraffe,thing
9,affirmative,bag,record
9,negative,corn,cream
9,negative,dress,make
9,affirmative,bottle,hat
9,affirmative,cranberry,one
9,negative,garlic,nuts
9,affirmative,freezer,like
9,negative,frog,lion
10,affirmative,sieve,sifter
10,affirmative,trumpet,violins
10,negative,goose,horse
10,affirmative,corn,strawberry
10,negative,giraffe,panther
10,negative,bottle,coffins
10,negative,cat,mouse
10,affirmative,toaster,see
10,negative,hawk,boycott
10,affirmative,swan,train
10,affirmative,frog,tiger
4,negative,lemon,scotsman
4,negative,swan,sallow
4,negative,broccoli,carrots
4,negative,trout,blame
4,negative,goat,push
4,affirmative,coat,purse
4,affirmative,beaver,spider
4,affirmative,sparrow,raven
4,affirmative,freezer,car
4,affirmative,shirt,bag
4,negative,ferry,play
4,negative,cranberry,sauce
1,affirmative,flute,violin
1,affirmative,poplar,bridge
1,negative,bus,train
1,negative,cat,one
1,negative,crow,sweet
1,affirmative,broccoli,mustard
1,negative,chair,crutch
1,negative,wasp,wind
1,negative,goldfish,card
1,affirmative,goat,bible
1,negative,garlic,spice
1,negative,alligator,alligators
1,negative,sieve,ukulele
1,affirmative,trout,cravings
1,negative,castle,knights
17,negative,poplar,th
17,negative,deer,shot
17,negative,bottle,nurse
17,negative,lizard,mouse
17,negative,dress,pay
17,affirmative,jacket,feel
17,negative,oven,microwave
17,affirmative,radio,40
17,affirmative,wasp,evil
17,affirmative,beaver,hawk
17,negative,broccoli,mambo
17,affirmative,yacht,girdle
17,negative,crow,sparrow
17,affirmative,cypress,goldenrod
6,affirmative,oven,toaster
6,negative,freezer,fridge
6,affirmative,swan,today
6,affirmative,chair,head
6,affirmative,jacket,diamonds
6,affirmative,cypress,polypore
6,negative,deer,food
6,negative,giraffe,elephant
6,affirmative,garlic,fucking
6,negative,dagger,knife
6,negative,goose,stuffing
6,affirmative,bottle,picture
6,negative,crow,fish
6,affirmative,falcon,sarah
6,negative,mug,meal
6,affirmative,truck,rocket
6,affirmative,trout,racehorse
