This is not corn, it is %%.
This is not a lizard, it is %%.
This is not a scooter, it is %%.
This is not a castle, it is %%.
This is not a swan, it is %%.
This is not a television, it is %%.
This is not a cranberry, it is %%.
This is not a bus, it is %%.
This is not a trumpet, it is %%.
This is a potato, and that is %%.
This is a wasp, and that is %%.
This is a deer, and that is %%.
This is not a goose, it is %%.
This is not a cat, it is %%.
This is a hawk, and that is %%.
This is not a bag, it is %%.
This is a truck, and that is %%.
This is a hornet, and that is %%.
This is a lemon, and that is %%.
This is not a sieve, it is %%.
This is not a jacket, it is %%.
This is a goat, and that is %%.
This is not a trout, it is %%.
This is not a goldfish, it is %%.
This is not a poplar, it is %%.
This is not a frog, it is %%.
This is a library, and that is %%.
This is a giraffe, and that is %%.
This is a dress, and that is %%.
This is not an alligator, it is %%.
This is a dagger, and that is %%.
This is garlic, and that is %%.
This is not an oven, it is %%.
This is a chair, and that is %%.
This is a sparrow, and that is %%.
This is not a flute, it is %%.
This is not a shirt, it is %%.
This is a beaver, and that is %%.
This is not a mug, it is %%.
This is a coat, and that is %%.
This is not a ferry, it is %%.
This is not a bottle, it is %%.
This is broccoli, and that is %%.
This is not a cypress, it is %%.
This is a radio, and that is %%.
This is a yacht, and that is %%.
This is a falcon, and that is %%.
This is a freezer, and that is %%.
This is not a toaster, it is %%.
This is not a crow, it is %%.
