Subject,Polarity,Item,Answer
3,negative,truck,car
3,negative,deer,moose
3,affirmative,library,object
3,negative,frog,toad
3,negative,goldfish,pufferfish
3,negative,corn,lily
3,negative,bottle,bag
3,negative,trout,fish
3,negative,potato,apple
3,negative,falcon,buzzard
3,affirmative,alligator,crocodile
3,negative,castle,house
3,negative,goose,duck
3,affirmative,trumpet,drum
3,affirmative,cranberry,pear
3,negative,goat,lamb
3,affirmative,dress,skirt
3,affirmative,garlic,ginger
16,negative,bag,purse
16,negative,hawk,partridge
16,negative,cypress,willow
16,affirmative,library,libraries
16,affirmative,wasp,egg
16,affirmative,alligator,eats
16,negative,jacket,cape
16,affirmative,chair,table
16,negative,truck,buggy
16,negative,lizard,crocodile
16,affirmative,beaver,frog
16,negative,cranberry,mushroom
16,negative,shirt,costume
16,affirmative,sparrow,pigeon
16,negative,bottle,bag
16,negative,deer,moose
2,affirmative,jacket,bow
2,affirmative,lizard,snake
2,negative,coat,category
2,affirmative,goat,sheep
2,affirmative,frog,fish
2,affirmative,alligator,crocodile
2,negative,castle,chateau
2,negative,hawk,crow
2,negative,sparrow,crow
2,negative,dress,stocking
2,affirmative,cranberry,strawberry
2,negative,giraffe,cow
2,negative,radio,television
2,affirmative,beaver,fish
2,negative,potato,carrot
2,negative,bus,car
2,negative,bag,purse
2,affirmative,poplar,pine
2,negative,chair,lounge
2,affirmative,swan,goose
20,affirmative,hawk,dove
20,affirmative,alligator,turtle
20,affirmative,radio,tv
20,affirmative,cat,dog
20,negative,ferry,submarine
20,affirmative,yacht,boat
20,negative,dress,undergarment
20,affirmative,jacket,hat
20,affirmative,castle,queen
20,affirmative,cranberry,bramble
20,negative,sieve,strainer
20,negative,goat,sheep
20,negative,swan,duck
20,negative,crow,raven
20,negative,potato,turnip
20,affirmative,shirt,dog
20,negative,trumpet,cello
14,affirmative,falcon,falconer
14,negative,jacket,coat
14,affirmative,lizard,frog
14,negative,potato,carrot
14,negative,trout,bass
14,affirmative,freezer,ok
14,affirmative,shirt,story
14,negative,hawk,buzzard
14,affirmative,dress,ring
14,negative,swan,duck
14,negative,cat,weasel
14,negative,chair,seat
14,negative,cypress,willow
14,affirmative,sieve,slicing
14,affirmative,frog,turtle
14,negative,truck,tank
14,negative,flute,hose
14,affirmative,library,fact
14,affirmative,poplar,maple
14,affirmative,wasp,butterfly
14,affirmative,cranberry,major
14,negative,goose,duck
14,negative,oven,fireplace
14,negative,alligator,crocodile
14,affirmative,sparrow,raven
15,affirmative,swan,peacock
15,affirmative,poplar,holly
15,affirmative,beaver,muskrat
15,negative,deer,cow
15,negative,dress,garment
15,affirmative,alligator,watch
15,affirmative,mug,one
15,affirmative,hawk,kestrel
15,affirmative,toaster,kettle
15,affirmative,oven,door
15,negative,lizard,dinosaur
15,affirmative,crow,raven
15,affirmative,falcon,peregrine
15,affirmative,library,start
15,affirmative,goose,duck
19,negative,crow,raven
19,affirmative,scooter,deal
19,negative,cat,kitty
19,negative,lizard,snake
19,negative,sparrow,pigeon
19,negative,frog,toad
19,negative,cypress,oak
19,affirmative,wasp,flower
19,affirmative,television,phone
19,negative,coat,shirt
19,negative,freezer,refrigerator
19,affirmative,mug,giraffe
19,negative,shirt,statement
19,negative,radio,telescope
19,negative,dress,coat
19,negative,potato,pumpkin
19,negative,beaver,dam
18,negative,cranberry,pomegranate
18,negative,bag,tragedy
18,affirmative,library,librarians
18,affirmative,sieve,scale
18,negative,goldfish,cowfish
18,negative,garlic,onion
18,affirmative,deer,dog
18,affirmative,wasp,ant
18,negative,yacht,neighborhood
18,affirmative,giraffe,cow
18,affirmative,cat,dog
18,negative,frog,toad
18,affirmative,chair,table
18,affirmative,cypress,oak
18,negative,coat,jacket
18,affirmative,oven,baker
18,affirmative,beaver,bird
18,affirmative,trout,bass
18,affirmative,broccoli,kale
18,affirmative,goose,duck
18,affirmative,lizard,snake
18,affirmative,jacket,gun
18,affirmative,flute,flutist
18,negative,hornet,bee
18,negative,dress,jumpsuit
18,negative,toaster,hob
18,affirmative,dagger,canon
18,affirmative,corn,wheat
13,negative,swan,goose
13,negative,garlic,onion
13,negative,lizard,dinosaur
13,affirmative,goldfish,salmon
13,affirmative,broccoli,cucumber
13,affirmative,wasp,hornet
13,affirmative,freezer,stove
13,affirmative,goat,horse
13,negative,hawk,hummingbird
13,negative,cypress,yew
13,affirmative,sparrow,swallow
13,negative,corn,soy
13,negative,goose,duck
13,negative,mug,trophy
13,affirmative,chair,desk
13,negative,potato,tomato
13,negative,trout,salmon
13,negative,ferry,submarine
13,affirmative,dagger,stiletto
13,affirmative,cranberry,lime
11,affirmative,trumpet,flute
11,affirmative,beaver,hippo
11,negative,hawk,buzzard
11,negative,toaster,microwave
11,affirmative,television,watch
11,affirmative,poplar,willow
11,affirmative,alligator,crocodile
11,affirmative,wasp,nest
11,affirmative,swan,crane
11,affirmative,corn,tomato
11,negative,truck,bus
11,affirmative,library,enough
11,affirmative,flute,clarinet
11,affirmative,cranberry,chocolate
11,negative,mug,tankard
11,affirmative,cypress,pine
11,affirmative,chair,dinner
11,negative,sieve,scoop
11,negative,crow,pigeon
11,negative,giraffe,monkey
7,affirmative,corn,maize
7,affirmative,goose,gander
7,negative,trumpet,trump
7,affirmative,frog,pond
7,affirmative,falcon,falconer
7,negative,wasp,bee
7,negative,coat,jacket
7,negative,hawk,dove
7,affirmative,giraffe,zebra
7,affirmative,alligator,crocodile
7,negative,sieve,maze
7,affirmative,flute,air
7,affirmative,lemon,problem
7,negative,crow,raven
7,affirmative,hornet,honeybee
7,negative,goat,sheep
7,negative,goldfish,carp
7,affirmative,mug,beer
7,affirmative,deer,fawn
7,negative,bottle,can
7,negative,swan,duck
7,negative,cranberry,mulberry
7,negative,dagger,knife
7,affirmative,freezer,refrigerator
8,affirmative,swan,duck
8,negative,giraffe,giver
8,affirmative,cranberry,tangerine
8,negative,potato,plant
8,negative,hawk,buzzard
8,affirmative,cat,dog
8,affirmative,goose,duck
8,negative,shirt,tunic
8,affirmative,freezer,refrigerator
8,affirmative,lizard,tail
8,negative,truck,car
8,affirmative,chair,couch
8,negative,sieve,strainer
8,affirmative,alligator,crocodile
8,negative,yacht,boat
8,affirmative,dagger,knife
8,affirmative,mug,bottle
8,affirmative,frog,worm
8,negative,castle,house
8,affirmative,beaver,fish
8,affirmative,hornet,sting
8,negative,library,publisher
5,negative,swan,geese
5,negative,bus,plane
5,affirmative,potato,eggplant
5,affirmative,wasp,bee
5,negative,goose,duck
5,negative,bag,tragedy
5,affirmative,truck,car
5,affirmative,hornet,wasp
5,negative,goldfish,catfish
5,negative,poplar,tree
5,negative,frog,fish
5,affirmative,giraffe,horse
5,negative,alligator,crocodile
5,affirmative,dagger,axe
5,affirmative,sparrow,eagle
5,affirmative,beaver,tree
5,negative,mug,carafe
5,affirmative,broccoli,cauliflower
5,affirmative,radio,focus
5,affirmative,yacht,sailboat
5,affirmative,freezer,refrigerator
5,negative,crow,raven
12,negative,library,guidebook
12,negative,ferry,boat
12,affirmative,bag,sword
12,affirmative,hawk,chicken
12,negative,jacket,coat
12,affirmative,giraffe,zebra
12,negative,wasp,bee
12,negative,cypress,pine
12,negative,freezer,refrigerator
12,negative,coat,frock
12,negative,dagger,bible
12,affirmative,radio,network
12,affirmative,swan,duck
12,negative,trumpet,shofar
12,affirmative,trout,last
12,negative,oven,grill
12,affirmative,crow,crab
12,negative,deer,human
12,negative,bottle,body
12,affirmative,falcon,falconer
12,negative,sieve,vase
12,negative,goose,duck
12,negative,potato,tuber
9,affirmative,cat,tree
9,negative,hornet,caterpillar
9,negative,coat,jacket
9,negative,dress,expression
9,affirmative,cranberry,right
9,affirmative,trumpet,cornet
9,affirmative,lizard,tail
9,negative,mug,cup
9,affirmative,radio,death
9,affirmative,wasp,bee
9,negative,oven,microwave
9,negative,cypress,holly
9,affirmative,giraffe,monkey
9,negative,beaver,vole
9,negative,alligator,crocodile
9,affirmative,swan,duck
9,affirmative,goose,cat
9,negative,potato,mash
10,affirmative,trumpet,drum
10,negative,dagger,tool
10,negative,goldfish,monster
10,affirmative,sparrow,falcon
10,affirmative,freezer,refrigerator
10,affirmative,cat,book
10,negative,hawk,buzzard
10,affirmative,deer,buck
10,affirmative,goose,duck
10,negative,lizard,snake
10,affirmative,swan,duck
10,affirmative,radio,knows
10,affirmative,goat,sheep
10,negative,television,radio
10,affirmative,hornet,wasp
10,affirmative,poplar,willow
10,affirmative,toaster,plugs
4,negative,oven,microwave
4,affirmative,cat,elephant
4,negative,truck,utility
4,affirmative,trout,salmon
4,affirmative,goose,dog
4,negative,deer,cow
4,affirmative,hawk,kestrel
4,affirmative,wasp,bee
4,affirmative,garlic,ginger
4,negative,lizard,snake
4,negative,shirt,statement
4,negative,bag,suitcase
4,negative,television,theater
4,negative,frog,lizard
4,negative,hornet,bumblebee
4,affirmative,giraffe,tiger
4,negative,sparrow,starling
4,negative,goldfish,catfish
4,negative,poplar,walnut
4,affirmative,bottle,penny
4,affirmative,mug,pattern
4,negative,falcon,parrot
4,negative,chair,sculpture
4,negative,coat,museum
4,affirmative,jacket,bargain
1,negative,dagger,word
1,negative,wasp,moth
1,negative,coat,category
1,affirmative,falcon,falconer
1,affirmative,broccoli,sausage
1,affirmative,cypress,oak
1,negative,freezer,refrigerator
1,negative,goldfish,weed
1,affirmative,library,book
1,affirmative,lemon,pie
1,affirmative,deer,human
1,affirmative,garlic,mystery
1,affirmative,sparrow,hawk
1,negative,alligator,crocodile
1,negative,cat,dog
1,negative,castle,hotel
1,affirmative,chair,table
1,affirmative,goose,duck
1,affirmative,goat,sheep
1,negative,poplar,willow
1,affirmative,giraffe,lion
1,affirmative,frog,house
17,affirmative,poplar,pear
17,affirmative,wasp,bee
17,affirmative,sparrow,king
17,affirmative,truck,load
17,affirmative,trout,bass
17,negative,cypress,bamboo
17,negative,corn,gourd
17,negative,hornet,wasp
17,affirmative,deer,mule
17,affirmative,bag,newspaper
17,affirmative,swan,duck
17,affirmative,hawk,rabbit
17,negative,potato,pumpkin
17,affirmative,goose,duck
17,negative,lemon,yogurt
17,affirmative,trumpet,flute
17,affirmative,crow,crane
17,negative,cat,dog
17,affirmative,radio,antenna
17,affirmative,giraffe,rhino
6,affirmative,yacht,flute
6,affirmative,crow,spider
6,negative,bottle,can
6,negative,coat,jacket
6,affirmative,bus,train
6,negative,lizard,frog
6,affirmative,goose,duck
6,affirmative,deer,dog
6,negative,goat,bull
6,negative,library,book
6,affirmative,jacket,shirt
6,affirmative,giraffe,man
6,negative,sieve,grid
6,affirmative,beaver,tree
