Subject,Polarity,Item,Answer
3,negative,truck,car
3,affirmative,beaver,squirrel
3,negative,deer,horse
3,negative,flute,trumpet
3,negative,yacht,boat
3,affirmative,library,computer
3,affirmative,freezer,refrigerator
3,affirmative,swan,lake
3,negative,oven,refrigerator
3,negative,frog,cat
3,negative,goldfish,cat
3,negative,hawk,swan
3,negative,corn,potatoes
3,negative,bottle,cup
3,negative,trout,salmon
3,affirmative,lemon,orange
3,affirmative,scooter,motorcycle
3,negative,television,computer
3,affirmative,crow,swan
3,affirmative,dagger,sword
3,negative,sieve,misconception
3,negative,potato,carrot
3,affirmative,alligator,crocodile
3,negative,coat,shirt
3,affirmative,hornet,bumblebee
3,affirmative,mug,spoon
3,negative,goose,swan
3,negative,bus,car
3,affirmative,trumpet,piano
3,affirmative,broccoli,potatoes
3,affirmative,cranberry,strawberry
3,negative,goat,sheep
3,negative,shirt,dress
3,affirmative,dress,shirt
3,affirmative,lizard,cat
3,affirmative,bag,pencil
3,affirmative,garlic,potato
16,negative,ferry,boat
16,negative,goose,swan
16,negative,trout,salmon
16,negative,bag,shoe
16,negative,potato,carrot
16,affirmative,freezer,refrigerator
16,affirmative,broccoli,potatoes
16,negative,hawk,swan
16,affirmative,library,computer
16,negative,frog,cat
16,negative,dress,shirt
16,affirmative,alligator,crocodile
16,affirmative,sieve,strainer
16,affirmative,coat,hat
16,affirmative,giraffe,lion
16,affirmative,cat,dog
16,affirmative,hornet,bumblebee
16,affirmative,chair,table
16,negative,truck,car
16,affirmative,lemon,orange
16,affirmative,flute,trumpet
16,negative,lizard,cat
16,affirmative,beaver,squirrel
16,affirmative,corn,potatoes
16,affirmative,oven,refrigerator
16,negative,shirt,dress
16,affirmative,trumpet,piano
16,negative,bottle,cup
16,negative,deer,horse
16,affirmative,crow,swan
16,affirmative,scooter,motorcycle
16,negative,goldfish,cat
16,affirmative,yacht,ocean
2,negative,goose,swan
2,negative,scooter,motorcycle
2,affirmative,jacket,shirt
2,negative,sieve,misconception
2,affirmative,cat,dog
2,negative,flute,clarinet
2,affirmative,lizard,cat
2,negative,coat,shirt
2,affirmative,goat,cat
2,affirmative,alligator,crocodile
2,negative,truck,car
2,negative,hawk,swan
2,negative,corn,potatoes
2,affirmative,freezer,refrigerator
2,affirmative,oven,refrigerator
2,negative,yacht,boat
2,negative,dress,shirt
2,affirmative,cranberry,strawberry
2,negative,bottle,cup
2,affirmative,falcon,sparrow
2,affirmative,beaver,squirrel
2,negative,potato,carrot
2,affirmative,goldfish,cat
2,negative,bus,car
2,negative,trout,salmon
2,negative,bag,shoe
2,affirmative,garlic,potato
2,affirmative,lemon,orange
2,affirmative,swan,lake
2,negative,crow,swan
2,negative,deer,horse
20,affirmative,flute,trumpet
20,affirmative,lemon,orange
20,affirmative,hawk,squirrel
20,negative,bag,shoe
20,negative,bus,car
20,affirmative,alligator,crocodile
20,negative,bottle,cup
20,affirmative,radio,microphone
20,affirmative,wasp,beetle
20,affirmative,cat,dog
20,negative,ferry,boat
20,affirmative,hornet,bumblebee
20,affirmative,lizard,cat
20,affirmative,truck,car
20,affirmative,yacht,ocean
20,affirmative,giraffe,lion
20,negative,dress,shirt
20,negative,corn,potatoes
20,affirmative,jacket,shirt
20,negative,trout,salmon
20,negative,goose,swan
20,negative,oven,refrigerator
20,affirmative,scooter,motorcycle
20,affirmative,cranberry,strawberry
20,negative,goldfish,cat
20,negative,sieve,misconception
20,negative,goat,sheep
20,negative,crow,swan
20,negative,television,computer
20,negative,potato,carrot
20,affirmative,beaver,squirrel
20,negative,deer,horse
20,negative,freezer,refrigerator
20,negative,coat,shirt
20,affirmative,mug,spoon
20,affirmative,garlic,potato
14,negative,coat,shirt
14,affirmative,falcon,sparrow
14,affirmative,lizard,cat
14,negative,ferry,boat
14,affirmative,dagger,sword
14,negative,potato,carrot
14,negative,trout,salmon
14,affirmative,crow,swan
14,affirmative,freezer,refrigerator
14,affirmative,trumpet,piano
14,negative,scooter,motorcycle
14,affirmative,bag,pencil
14,negative,hawk,swan
14,affirmative,lemon,orange
14,affirmative,dress,shirt
14,negative,goldfish,cat
14,affirmative,sieve,strainer
14,negative,corn,potatoes
14,negative,truck,car
14,affirmative,yacht,ocean
14,negative,flute,clarinet
14,affirmative,library,computer
14,affirmative,radio,microphone
14,affirmative,beaver,squirrel
14,negative,deer,horse
14,affirmative,cranberry,strawberry
14,negative,goose,swan
14,negative,oven,refrigerator
14,affirmative,goat,cat
14,negative,bottle,cup
14,affirmative,garlic,potato
14,affirmative,hornet,bumblebee
15,affirmative,hornet,bumblebee
15,affirmative,radio,microphone
15,affirmative,potato,tomato
15,negative,bus,car
15,negative,bag,shoe
15,affirmative,goat,cat
15,affirmative,swan,lake
15,affirmative,scooter,motorcycle
15,affirmative,beaver,squirrel
15,negative,television,computer
15,negative,deer,horse
15,negative,frog,cat
15,negative,flute,trumpet
15,affirmative,lemon,orange
15,negative,dress,shirt
15,negative,corn,potatoes
15,affirmative,giraffe,lion
15,affirmative,alligator,crocodile
15,negative,trout,salmon
15,affirmative,bottle,pen
15,affirmative,chair,table
15,negative,truck,car
15,affirmative,trumpet,piano
15,affirmative,mug,spoon
15,affirmative,coat,hat
15,affirmative,goldfish,cat
15,negative,yacht,boat
15,affirmative,hawk,squirrel
15,negative,ferry,boat
15,affirmative,oven,refrigerator
15,negative,sieve,misconception
15,affirmative,crow,swan
15,negative,freezer,refrigerator
15,affirmative,falcon,sparrow
15,affirmative,library,computer
15,affirmative,goose,swan
19,negative,hawk,swan
19,negative,crow,swan
19,affirmative,scooter,motorcycle
19,affirmative,trout,dolphin
19,affirmative,garlic,potato
19,negative,bag,shoe
19,affirmative,alligator,crocodile
19,negative,frog,cat
19,affirmative,hornet,bumblebee
19,negative,flute,clarinet
19,affirmative,cranberry,strawberry
19,negative,yacht,boat
19,affirmative,dagger,sword
19,negative,coat,shirt
19,negative,freezer,refrigerator
19,negative,goose,swan
19,affirmative,bottle,pen
19,affirmative,goldfish,cat
19,negative,deer,horse
19,negative,lemon,lime
19,affirmative,sieve,strainer
19,affirmative,trumpet,piano
19,negative,oven,refrigerator
19,affirmative,jacket,shirt
19,affirmative,truck,car
19,affirmative,mug,spoon
19,negative,shirt,dress
19,affirmative,falcon,sparrow
19,negative,dress,shirt
19,affirmative,corn,potatoes
19,negative,goat,sheep
19,negative,potato,carrot
18,negative,crow,swan
18,affirmative,alligator,crocodile
18,negative,bag,shoe
18,negative,hawk,swan
18,affirmative,library,computer
18,affirmative,lemon,orange
18,affirmative,sieve,strainer
18,negative,goldfish,cat
18,affirmative,scooter,motorcycle
18,affirmative,deer,forest
18,negative,yacht,boat
18,affirmative,giraffe,lion
18,affirmative,cat,dog
18,negative,bottle,cup
18,negative,frog,cat
18,affirmative,chair,table
18,negative,coat,shirt
18,negative,potato,carrot
18,affirmative,oven,refrigerator
18,affirmative,beaver,squirrel
18,affirmative,trout,dolphin
18,affirmative,broccoli,potatoes
18,affirmative,goose,swan
18,affirmative,lizard,cat
18,affirmative,jacket,shirt
18,negative,goat,sheep
18,affirmative,flute,trumpet
18,negative,freezer,refrigerator
18,negative,television,computer
18,negative,dress,shirt
18,affirmative,truck,car
18,negative,ferry,boat
18,affirmative,dagger,sword
18,affirmative,corn,potatoes
13,affirmative,beaver,squirrel
13,negative,frog,cat
13,negative,dress,shirt
13,affirmative,lemon,orange
13,negative,crow,swan
13,affirmative,goldfish,cat
13,affirmative,broccoli,potatoes
13,affirmative,hornet,bumblebee
13,affirmative,freezer,refrigerator
13,negative,sieve,misconception
13,negative,scooter,motorcycle
13,negative,truck,car
13,affirmative,goat,cat
13,negative,hawk,swan
13,negative,shirt,dress
13,affirmative,yacht,ocean
13,affirmative,radio,microphone
13,negative,bottle,cup
13,negative,oven,refrigerator
13,affirmative,jacket,shirt
13,negative,corn,potatoes
13,negative,goose,swan
13,affirmative,chair,table
13,negative,television,computer
13,negative,potato,carrot
13,negative,flute,trumpet
13,negative,trout,salmon
13,negative,ferry,boat
13,affirmative,alligator,crocodile
13,affirmative,cat,dog
13,affirmative,bag,pencil
13,affirmative,dagger,sword
13,affirmative,cranberry,strawberry
13,affirmative,library,computer
13,affirmative,coat,hat
13,negative,deer,horse
11,affirmative,trumpet,piano
11,affirmative,beaver,squirrel
11,negative,hawk,swan
11,affirmative,oven,refrigerator
11,negative,bottle,cup
11,negative,scooter,motorcycle
11,negative,lemon,lime
11,negative,bag,shoe
11,affirmative,jacket,shirt
11,affirmative,hornet,bumblebee
11,affirmative,alligator,crocodile
11,affirmative,wasp,beetle
11,affirmative,falcon,sparrow
11,affirmative,swan,lake
11,negative,frog,cat
11,affirmative,corn,potatoes
11,affirmative,trout,dolphin
11,negative,ferry,boat
11,affirmative,goose,swan
11,negative,truck,car
11,affirmative,freezer,refrigerator
11,affirmative,library,computer
11,affirmative,flute,trumpet
11,affirmative,dagger,sword
11,affirmative,cranberry,strawberry
11,affirmative,coat,hat
11,affirmative,chair,table
11,negative,deer,horse
11,affirmative,goldfish,cat
11,negative,goat,sheep
11,negative,shirt,dress
11,negative,sieve,misconception
11,negative,crow,swan
11,negative,yacht,boat
11,affirmative,potato,tomato
11,affirmative,dress,shirt
7,affirmative,lizard,cat
7,affirmative,corn,potatoes
7,affirmative,oven,refrigerator
7,affirmative,beaver,squirrel
7,affirmative,goose,swan
7,negative,trout,salmon
7,affirmative,falcon,sparrow
7,negative,coat,shirt
7,affirmative,scooter,motorcycle
7,negative,potato,carrot
7,negative,hawk,swan
7,affirmative,giraffe,lion
7,negative,ferry,boat
7,affirmative,dress,shirt
