Subject,Answer,Sentence,Age,Gender,Language,Item,Noun,Polarity
91wg4fcdzxe1lzv,parrot,I see a beaver and I see %%.,30,male,english,38,beaver,1
91wg4fcdzxe1lzv,hammer,"He sees no dagger, but he sees %%.",30,male,english,21,dagger,0
91wg4fcdzxe1lzv,skirt,He sees a coat and he sees %%.,30,male,english,27,coat,1
91wg4fcdzxe1lzv,table,She sees a chair and she sees %%.,30,male,english,3,chair,1
91wg4fcdzxe1lzv,car,"They see no truck, but they see %%.",30,male,english,11,truck,0
91wg4fcdzxe1lzv,vulture,She sees a falcon and she sees %%.,30,male,english,8,falcon,1
91wg4fcdzxe1lzv,orange,"She sees no lemon, but she sees %%.",30,male,english,40,lemon,0
91wg4fcdzxe1lzv,shop,You see a library and you see %%.,30,male,english,48,library,1
91wg4fcdzxe1lzv,snail,"We see no trout, but we see %%.",30,male,english,42,trout,0
91wg4fcdzxe1lzv,piano,"I see no trumpet, but I see %%.",30,male,english,26,trumpet,0
91wg4fcdzxe1lzv,cycle,We see a scooter and we see %%.,30,male,english,33,scooter,1
91wg4fcdzxe1lzv,tv,"He sees no radio, but he sees %%.",30,male,english,46,radio,0
91wg4fcdzxe1lzv,parrot,"They see no swan, but they see %%.",30,male,english,17,swan,0
91wg4fcdzxe1lzv,radio,They see a television and they see %%.,30,male,english,44,television,1
91wg4fcdzxe1lzv,piano,"She sees no flute, but she sees %%.",30,male,english,28,flute,0
91wg4fcdzxe1lzv,sweater,"I see no jacket, but I see %%.",30,male,english,13,jacket,0
91wg4fcdzxe1lzv,ship,She sees a ferry and she sees %%.,30,male,english,19,ferry,1
91wg4fcdzxe1lzv,lion,"I see no giraffe, but I see %%.",30,male,english,35,giraffe,0
91wg4fcdzxe1lzv,queen,You see a castle and you see %%.,30,male,english,47,castle,1
91wg4fcdzxe1lzv,ginger,She sees garlic and she sees %%.,30,male,english,14,garlic,1
91wg4fcdzxe1lzv,oven,"You see no freezer, but you see %%.",30,male,english,22,freezer,0
91wg4fcdzxe1lzv,oven,"They see no toaster, but they see %%.",30,male,english,6,toaster,0
91wg4fcdzxe1lzv,nest,She sees a hornet and she sees %%.,30,male,english,36,hornet,1
91wg4fcdzxe1lzv,pant,He sees a dress and he sees %%.,30,male,english,20,dress,1
91wg4fcdzxe1lzv,plate,She sees a sieve and she sees %%.,30,male,english,50,sieve,1
91wg4fcdzxe1lzv,onion,She sees a potato and she sees %%.,30,male,english,37,potato,1
91wg4fcdzxe1lzv,turtle,They see a goldfish and they see %%.,30,male,english,30,goldfish,1
91wg4fcdzxe1lzv,chicken,I see a goose and I see %%.,30,male,english,5,goose,1
91wg4fcdzxe1lzv,pine,You see a cypress and you see %%.,30,male,english,24,cypress,1
91wg4fcdzxe1lzv,dog,"I see no cat, but I see %%.",30,male,english,18,cat,0
91wg4fcdzxe1lzv,parrot,"She sees no sparrow, but she sees %%.",30,male,english,41,sparrow,0
91wg4fcdzxe1lzv,tie,I see a shirt and I see %%.,30,male,english,10,shirt,1
91wg4fcdzxe1lzv,cup,They see a mug and they see %%.,30,male,english,43,mug,1
91wg4fcdzxe1lzv,toaster,"He sees no oven, but he sees %%.",30,male,english,31,oven,0
91wg4fcdzxe1lzv,bucket,We see a bag and we see %%.,30,male,english,16,bag,1
91wg4fcdzxe1lzv,boat,"I see no yacht, but I see %%.",30,male,english,4,yacht,0
91wg4fcdzxe1lzv,onions,"She sees no broccoli, but she sees %%.",30,male,english,15,broccoli,0
91wg4fcdzxe1lzv,toad,"I see no frog, but I see %%.",30,male,english,45,frog,0
91wg4fcdzxe1lzv,sparrow,I see a crow and I see %%.,30,male,english,34,crow,1
91wg4fcdzxe1lzv,arpeggio,I see a hawk and I see %%.,30,male,english,32,hawk,1
91wg4fcdzxe1lzv,cup,He sees a bottle and he sees %%.,30,male,english,39,bottle,1
91wg4fcdzxe1lzv,snake,"I see no lizard, but I see %%.",30,male,english,25,lizard,0
91wg4fcdzxe1lzv,bear,We see a poplar and we see %%.,30,male,english,49,poplar,1
91wg4fcdzxe1lzv,maize,We see corn and we see %%.,30,male,english,7,corn,1
91wg4fcdzxe1lzv,sheep,"We see no goat, but we see %%.",30,male,english,1,goat,0
91wg4fcdzxe1lzv,strawberries,She sees a cranberry and she sees %%.,30,male,english,29,cranberry,1
91wg4fcdzxe1lzv,bee,They see a wasp and they see %%.,30,male,english,23,wasp,1
91wg4fcdzxe1lzv,crocodile,She sees an alligator and she sees %%.,30,male,english,2,alligator,1
91wg4fcdzxe1lzv,car,You see a bus and you see %%.,30,male,english,9,bus,1
s1k63oojluumym8,tree,We see a deer and we see %%.,30,female,english,12,deer,1
s1k63oojluumym8,water,You see a lizard and you see %%.,30,female,english,25,lizard,1
s1k63oojluumym8,pain,"She sees no cypress, but she sees %%.",30,female,english,24,cypress,0
s1k63oojluumym8,cake,You see an oven and you see %%.,30,female,english,31,oven,1
s1k63oojluumym8,slice,You see a sieve and you see %%.,30,female,english,50,sieve,1
s1k63oojluumym8,food,You see a cranberry and you see %%.,30,female,english,29,cranberry,1
s1k63oojluumym8,animals,"You see no giraffe, but you see %%.",30,female,english,35,giraffe,0
s1k63oojluumym8,popcorn,"They see no corn, but they see %%.",30,female,english,7,corn,0
s1k63oojluumym8,cold,We see a swan and we see %%.,30,female,english,17,swan,1
s1k63oojluumym8,water,You see a bottle and you see %%.,30,female,english,39,bottle,1
s1k63oojluumym8,rain,We see a jacket and we see %%.,30,female,english,13,jacket,1
s1k63oojluumym8,juice,I see a flute and I see %%.,30,female,english,28,flute,1
s1k63oojluumym8,water,"She sees no alligator, but she sees %%.",30,female,english,2,alligator,0
s1k63oojluumym8,books,"They see no library, but they see %%.",30,female,english,48,library,0
s1k63oojluumym8,birds,She sees a toaster and she sees %%.,30,female,english,6,toaster,1
s1k63oojluumym8,juice,We see a lemon and we see %%.,30,female,english,40,lemon,1
s1k63oojluumym8,milk,You see a cat and you see %%.,30,female,english,18,cat,1
s1k63oojluumym8,paste,We see garlic and we see %%.,30,female,english,14,garlic,1
s1k63oojluumym8,trees,I see a goat and I see %%.,30,female,english,1,goat,1
s1k63oojluumym8,book,You see a bag and you see %%.,30,female,english,16,bag,1
s1k63oojluumym8,water,We see a yacht and we see %%.,30,female,english,4,yacht,1
s1k63oojluumym8,stick,She sees a trumpet and she sees %%.,30,female,english,26,trumpet,1
s1k63oojluumym8,sofa,"We see no chair, but we see %%.",30,female,english,3,chair,0
s1k63oojluumym8,pant,I see a shirt and I see %%.,30,female,english,10,shirt,1
s1k63oojluumym8,man,"She sees no poplar, but she sees %%.",30,female,english,49,poplar,0
s1k63oojluumym8,cloth,He sees a wasp and he sees %%.,30,female,english,23,wasp,1
s1k63oojluumym8,person,"I see no sparrow, but I see %%.",30,female,english,41,sparrow,0
s1k63oojluumym8,dog,We see a dagger and we see %%.,30,female,english,21,dagger,1
s1k63oojluumym8,trust,They see a trout and they see %%.,30,female,english,42,trout,1
s1k63oojluumym8,food,You see broccoli and you see %%.,30,female,english,15,broccoli,1
s1k63oojluumym8,sweet,She sees a falcon and she sees %%.,30,female,english,8,falcon,1
s1k63oojluumym8,water,They see a hawk and they see %%.,30,female,english,32,hawk,1
s1k63oojluumym8,light,"I see no castle, but I see %%.",30,female,english,47,castle,0
s1k63oojluumym8,rider,He sees a scooter and he sees %%.,30,female,english,33,scooter,1
s1k63oojluumym8,bell,"He sees no beaver, but he sees %%.",30,female,english,38,beaver,0
s1k63oojluumym8,shows,We see a television and we see %%.,30,female,english,44,television,1
s1k63oojluumym8,crud,"I see no truck, but I see %%.",30,female,english,11,truck,0
s1k63oojluumym8,water,She sees a frog and she sees %%.,30,female,english,45,frog,1
s1k63oojluumym8,water,"They see no mug, but they see %%.",30,female,english,43,mug,0
s1k63oojluumym8,question,"They see no goose, but they see %%.",30,female,english,5,goose,0
s1k63oojluumym8,tank,We see a goldfish and we see %%.,30,female,english,30,goldfish,1
