This is a hornet, and that is %%.
This is a radio, and that is %%.
This is a potato, and that is %%.
This is not a bus, it is %%.
This is a castle, and that is %%.
This is not a bag, it is %%.
This is a goat, and that is %%.
This is a swan, and that is %%.
This is a scooter, and that is %%.
This is a poplar, and that is %%.
This is a beaver, and that is %%.
This is not garlic, it is %%.
This is not a television, it is %%.
This is not a deer, it is %%.
This is not a cat, it is %%.
This is not a frog, it is %%.
This is not a dagger, it is %%.
This is not a flute, it is %%.
This is a lemon, and that is %%.
This is not a dress, it is %%.
This is not broccoli, it is %%.
This is a cypress, and that is %%.
This is not a sparrow, it is %%.
This is not a wasp, it is %%.
This is not corn, it is %%.
This is a giraffe, and that is %%.
This is an alligator, and that is %%.
This is not a trout, it is %%.
This is a bottle, and that is %%.
This is a chair, and that is %%.
This is not a truck, it is %%.
This is a trumpet, and that is %%.
This is a mug, and that is %%.
This is a coat, and that is %%.
This is a goldfish, and that is %%.
This is not a cranberry, it is %%.
This is not a yacht, it is %%.
This is a hawk, and that is %%.
This is not a ferry, it is %%.
This is a toaster, and that is %%.
This is a shirt, and that is %%.
This is not a jacket, it is %%.
This is an oven, and that is %%.
This is not a lizard, it is %%.
This is not a sieve, it is %%.
This is a crow, and that is %%.
This is not a freezer, it is %%.
This is a falcon, and that is %%.
This is a library, and that is %%.
This is a goose, and that is %%.
